geonameid,city,subcountry,country
1142170,Fayzabad,Badakhshan,Afghanistan
1141089,Ghormach,Badghis,Afghanistan
1147290,Balkh,Balkh,Afghanistan
1136575,Khulm,Balkh,Afghanistan
1133616,Mazār-E Sharīf,Balkh,Afghanistan
1147242,Bāmyān,Bāmīān,Afghanistan
1142264,Farah,Farah,Afghanistan
1148658,Andkhōy,Faryab,Afghanistan
1133453,Maymana,Faryab,Afghanistan
1141269,Ghazni,Ghaznī,Afghanistan
1125896,Shahrak,Ghowr,Afghanistan
1141540,Gereshk,Helmand,Afghanistan
1134720,Lashkar Gāh,Helmand,Afghanistan
1140026,Herāt,Herat,Afghanistan
1142404,Kafir Qala,Herat,Afghanistan
1137807,Karukh,Herat,Afghanistan
1135158,Kushk,Herat,Afghanistan
1125155,Shīnḏanḏ,Herat,Afghanistan
1129516,Qarqīn,Jowzjān,Afghanistan
1125444,Shibirghān,Jowzjān,Afghanistan
1138958,Kabul,Kabul,Afghanistan
1131316,Paghmān,Kabul,Afghanistan
1138336,Kandahār,Kandahār,Afghanistan
1136469,Khōst,Khowst,Afghanistan
1148311,Asadābād,Konar,Afghanistan
1148205,Āsmār,Konar,Afghanistan
1137168,Khanabad,Kunduz,Afghanistan
1135689,Kunduz,Kunduz,Afghanistan
1129648,Qarāwul,Kunduz,Afghanistan
1133574,Mehtar Lām,Laghmān,Afghanistan
1147066,Barakī Barak,Lowgar,Afghanistan
1139715,Jalālābād,Nangarhār,Afghanistan
1469706,Markaz-E Woluswalī-Ye Āchīn,Nangarhār,Afghanistan
1136863,Khāsh,Nīmrūz,Afghanistan
1120985,Zaranj,Nīmrūz,Afghanistan
1141857,Gardēz,Paktia,Afghanistan
1429434,Bāzārak,Panjshir,Afghanistan
1145352,Charikar,Parvān,Afghanistan
1139807,Jabal Os Saraj,Parvān,Afghanistan
1127768,Aībak,Samangān,Afghanistan
1127628,Sang-E Chārak,Sar-E Pol,Afghanistan
1127110,Sar-E Pul,Sar-E Pol,Afghanistan
1128265,Rustāq,Takhār,Afghanistan
1123004,Taloqan,Takhār,Afghanistan
1148106,Ārt Khwājah,Takhār,Afghanistan
1147540,Baghlān,Wilāyat-E Baghlān,Afghanistan
1132495,Nahrīn,Wilāyat-E Baghlān,Afghanistan
1130490,Pul-E Khumrī,Wilāyat-E Baghlān,Afghanistan
3041732,Mariehamn,Mariehamns Stad,Aland Islands
3186084,Berat,Berat,Albania
3185060,Kuçovë,Berat,Albania
783493,Burrel,Dibër,Albania
3185728,Durrës,Durrës,Albania
3185082,Krujë,Durrës,Albania
783263,Elbasan,Elbasan,Albania
3185672,Fier,Fier,Albania
3185670,Fier-Çifçi,Fier,Albania
3184862,Lushnjë,Fier,Albania
3184517,Patos Fshat,Fier,Albania
783148,Gjirokastër,Gjirokastër,Albania
782756,Korçë,Korçë,Albania
782661,Kukës,Kukës,Albania
3185012,Laç,Lezhë,Albania
3184935,Lezhë,Lezhë,Albania
3184081,Shkodër,Shkodër,Albania
3185211,Kavajë,Tiranë,Albania
3183875,Tirana,Tiranë,Albania
363243,Sarandë,Vlorë,Albania
3183719,Vlorë,Vlorë,Albania
2508813,Adrar,Adrar,Algeria
2506795,Aoulef,Adrar,Algeria
2483761,Reggane,Adrar,Algeria
2476403,Timimoun,Adrar,Algeria
2507480,Algiers,Alger,Algeria
2507912,Aïn Taya,Alger,Algeria
2505854,Bab Ezzouar,Alger,Algeria
2503847,Birkhadem,Alger,Algeria
2503661,Bordj El Kiffan,Alger,Algeria
2500889,Dar El Beïda,Alger,Algeria
2482908,Rouiba,Alger,Algeria
2506999,Annaba,Annaba,Algeria
2504136,Berrahal,Annaba,Algeria
2499055,Drean,Annaba,Algeria
2498183,El Hadjar,Annaba,Algeria
2508228,Aïn Defla,Aïn Defla,Algeria
2498782,El Abadia,Aïn Defla,Algeria
2498590,El Attaf,Aïn Defla,Algeria
2491911,Khemis Miliana,Aïn Defla,Algeria
2476915,Theniet El Had,Aïn Defla,Algeria
2507901,Aïn Temouchent,Aïn Temouchent,Algeria
2504581,Beni Saf,Aïn Temouchent,Algeria
2498704,El Amria,Aïn Temouchent,Algeria
2497714,El Malah,Aïn Temouchent,Algeria
2494554,Hammam Bou Hadjar,Aïn Temouchent,Algeria
2506404,Arris,Batna,Algeria
2507877,Aïn Touta,Batna,Algeria
2505629,Barika,Batna,Algeria
2505572,Batna,Batna,Algeria
2491050,Larbaâ,Batna,Algeria
2487882,Merouana,Batna,Algeria
2483968,Râs El Aïoun,Batna,Algeria
2477528,Tazoult-Lambese,Batna,Algeria
2507646,Akbou,Bejaïa,Algeria
2507169,Amizour,Bejaïa,Algeria
2505651,Barbacha,Bejaïa,Algeria
2505329,Bejaïa,Bejaïa,Algeria
2476412,El Hed,Bejaïa,Algeria
2497796,El Kseur,Bejaïa,Algeria
2496573,Feraoun,Bejaïa,Algeria
2482159,Seddouk,Bejaïa,Algeria
2503826,Biskra,Biskra,Algeria
2480368,Sidi Khaled,Biskra,Algeria
2479916,Sidi Okba,Biskra,Algeria
2475612,Tolga,Biskra,Algeria
2474506,Zeribet El Oued,Biskra,Algeria
2504622,Beni Mered,Blida,Algeria
2503769,Blida,Blida,Algeria
2503181,Boufarik,Blida,Algeria
2503147,Bougara,Blida,Algeria
2502962,Bouinan,Blida,Algeria
2503468,Boû Arfa,Blida,Algeria
2501680,Chebli,Blida,Algeria
2501323,Chiffa,Blida,Algeria
2488722,Meftah,Blida,Algeria
2479966,Sidi Moussa,Blida,Algeria
2479183,Souma,Blida,Algeria
2503701,Bordj Bou Arreridj,Bordj Bou Arréridj,Algeria
2503654,Bordj Ghdir,Bordj Bou Arréridj,Algeria
2503620,Bordj Zemoura,Bordj Bou Arréridj,Algeria
