id,country,region,population,area (sq. mi.),pop. density (per sq. mi.),coastline (coast/area ratio),net migration,infant mortality (per 1000 births),gdp ($ per capita),literacy (%),phones (per 1000),arable (%),crops (%),other (%),climate,birthrate,deathrate,agriculture,industry,service
1,Afghanistan,Asia (Ex. Near East),31056997,647500,48.0,0.0,23.06,163.07,700,36.0,3.2,12.13,0.22,87.65,1.0,46.6,20.34,0.38,0.24,0.38
2,Albania,Eastern Europe,3581655,28748,124.6,1.26,-4.93,21.52,4500,86.5,71.2,21.09,4.42,74.49,3.0,15.11,5.22,0.23199999999999998,0.188,0.579
3,Algeria,Northern Africa,32930091,2381740,13.8,0.04,-0.39,31.0,6000,70.0,78.1,3.22,0.25,96.53,1.0,17.14,4.61,0.10099999999999999,0.6,0.298
4,American Samoa,Oceania,57794,199,290.4,58.29,-20.71,9.27,8000,97.0,259.5,10.0,15.0,75.0,2.0,22.46,3.27,,,
5,Andorra,Western Europe,71201,468,152.1,0.0,6.6,4.05,19000,100.0,497.2,2.22,0.0,97.78,3.0,8.71,6.25,,,
6,Angola,Sub-Saharan Africa,12127071,1246700,9.7,0.13,0.0,191.19,1900,42.0,7.8,2.41,0.24,97.35,,45.11,24.2,0.096,0.6579999999999999,0.24600000000000002
7,Anguilla,Latin Amer. And Carib,13477,102,132.1,59.8,10.76,21.03,8600,95.0,460.0,0.0,0.0,100.0,2.0,14.17,5.34,0.04,0.18,0.78
8,Antigua And Barbuda,Latin Amer. And Carib,69108,443,156.0,34.54,-6.15,19.46,11000,89.0,549.9,18.18,4.55,77.27,2.0,16.93,5.37,0.038,0.22,0.743
9,Argentina,Latin Amer. And Carib,39921833,2766890,14.4,0.18,0.61,15.18,11200,97.1,220.4,12.31,0.48,87.21,3.0,16.73,7.55,0.095,0.358,0.547
10,Armenia,C.W. Of Ind. States,2976372,29800,99.9,0.0,-6.47,23.28,3500,98.6,195.7,17.55,2.3,80.15,4.0,12.07,8.23,0.239,0.34299999999999997,0.418
11,Aruba,Latin Amer. And Carib,71891,193,372.5,35.49,0.0,5.89,28000,97.0,516.1,10.53,0.0,89.47,2.0,11.03,6.68,0.004,0.33299999999999996,0.6629999999999999
12,Australia,Oceania,20264082,7686850,2.6,0.34,3.98,4.69,29000,100.0,565.5,6.55,0.04,93.41,1.0,12.14,7.51,0.038,0.262,0.7
13,Austria,Western Europe,8192880,83870,97.7,0.0,2.0,4.66,30000,98.0,452.2,16.91,0.86,82.23,3.0,8.74,9.76,0.018000000000000002,0.304,0.6779999999999999
14,Azerbaijan,C.W. Of Ind. States,7961619,86600,91.9,0.0,-4.9,81.74,3400,97.0,137.1,19.63,2.71,77.66,1.0,20.74,9.75,0.141,0.457,0.402
15,"Bahamas, The",Latin Amer. And Carib,303770,13940,21.8,25.41,-2.2,25.21,16700,95.6,460.6,0.8,0.4,98.8,2.0,17.57,9.05,0.03,0.07,0.9
16,Bahrain,Near East,698585,665,1050.5,24.21,1.05,17.27,16900,89.1,281.3,2.82,5.63,91.55,1.0,17.8,4.14,0.005,0.387,0.608
17,Bangladesh,Asia (Ex. Near East),147365352,144000,1023.4,0.4,-0.71,62.6,1900,43.1,7.3,62.11,3.07,34.82,2.0,29.8,8.27,0.19899999999999998,0.198,0.603
18,Barbados,Latin Amer. And Carib,279912,431,649.5,22.51,-0.31,12.5,15700,97.4,481.9,37.21,2.33,60.46,2.0,12.71,8.67,0.06,0.16,0.78
19,Belarus,C.W. Of Ind. States,10293011,207600,49.6,0.0,2.54,13.37,6100,99.6,319.1,29.55,0.6,69.85,4.0,11.16,14.02,0.09300000000000001,0.316,0.591
20,Belgium,Western Europe,10379067,30528,340.0,0.22,1.23,4.68,29100,98.0,462.6,23.28,0.4,76.32,3.0,10.38,10.27,0.01,0.24,0.7490000000000001
21,Belize,Latin Amer. And Carib,287730,22966,12.5,1.68,0.0,25.69,4900,94.1,115.7,2.85,1.71,95.44,2.0,28.84,5.72,0.142,0.152,0.612
22,Benin,Sub-Saharan Africa,7862944,112620,69.8,0.11,0.0,85.0,1100,40.9,9.7,18.08,2.4,79.52,2.0,38.85,12.22,0.316,0.138,0.546
23,Bermuda,Northern America,65773,53,1241.0,194.34,2.49,8.53,36000,98.0,851.4,20.0,0.0,80.0,2.0,11.4,7.74,0.01,0.1,0.89
24,Bhutan,Asia (Ex. Near East),2279723,47000,48.5,0.0,0.0,100.44,1300,42.2,14.3,3.09,0.43,96.48,2.0,33.65,12.7,0.258,0.379,0.363
25,Bolivia,Latin Amer. And Carib,8989046,1098580,8.2,0.0,-1.32,53.11,2400,87.2,71.9,2.67,0.19,97.14,1.5,23.3,7.53,0.128,0.35200000000000004,0.52
26,Bosnia And Herzegovina,Eastern Europe,4498976,51129,88.0,0.04,0.31,21.05,6100,,215.4,13.6,2.96,83.44,4.0,8.77,8.27,0.142,0.308,0.55
27,Botswana,Sub-Saharan Africa,1639833,600370,2.7,0.0,0.0,54.58,9000,79.8,80.5,0.65,0.01,99.34,1.0,23.08,29.5,0.024,0.469,0.507
28,Brazil,Latin Amer. And Carib,188078227,8511965,22.1,0.09,-0.03,29.61,7600,86.4,225.3,6.96,0.9,92.15,2.0,16.56,6.17,0.084,0.4,0.516
29,British Virgin Is.,Latin Amer. And Carib,23098,153,151.0,52.29,10.01,18.05,16000,97.8,506.5,20.0,6.67,73.33,2.0,14.89,4.42,0.018000000000000002,0.062,0.92
30,Brunei,Asia (Ex. Near East),379444,5770,65.8,2.79,3.59,12.61,18600,93.9,237.2,0.57,0.76,98.67,2.0,18.79,3.45,0.036000000000000004,0.561,0.40299999999999997
31,Bulgaria,Eastern Europe,7385367,110910,66.6,0.32,-4.58,20.55,7600,98.6,336.3,40.02,1.92,58.06,3.0,9.65,14.27,0.09300000000000001,0.304,0.603
32,Burkina Faso,Sub-Saharan Africa,13902972,274200,50.7,0.0,0.0,97.57,1100,26.6,7.0,14.43,0.19,85.38,2.0,45.62,15.6,0.322,0.196,0.48200000000000004
33,Burma,Asia (Ex. Near East),47382633,678500,69.8,0.28,-1.8,67.24,1800,85.3,10.1,15.19,0.97,83.84,2.0,17.91,9.83,0.564,0.08199999999999999,0.353
34,Burundi,Sub-Saharan Africa,8090068,27830,290.7,0.0,-0.06,69.29,600,51.6,3.4,35.05,14.02,50.93,2.0,42.22,13.46,0.46299999999999997,0.203,0.33399999999999996
35,Cambodia,Asia (Ex. Near East),13881427,181040,76.7,0.24,0.0,71.48,1900,69.4,2.6,20.96,0.61,78.43,2.0,26.9,9.06,0.35,0.3,0.35
36,Cameroon,Sub-Saharan Africa,17340702,475440,36.5,0.08,0.0,68.26,1800,79.0,5.7,12.81,2.58,84.61,1.5,33.89,13.47,0.44799999999999995,0.17,0.382
37,Canada,Northern America,33098932,9984670,3.3,2.02,5.96,4.75,29800,97.0,552.2,4.96,0.02,95.02,,10.78,7.8,0.022000000000000002,0.294,0.684
38,Cape Verde,Sub-Saharan Africa,420979,4033,104.4,23.93,-12.07,47.77,1400,76.6,169.6,9.68,0.5,89.82,3.0,24.87,6.55,0.121,0.21899999999999997,0.66
39,Cayman Islands,Latin Amer. And Carib,45436,262,173.4,61.07,18.75,8.19,35000,98.0,836.3,3.85,0.0,96.15,2.0,12.74,4.89,0.013999999999999999,0.032,0.9540000000000001
40,Central African Rep.,Sub-Saharan Africa,4303356,622984,6.9,0.0,0.0,91.0,1100,51.0,2.3,3.1,0.14,96.76,2.0,33.91,18.65,0.55,0.2,0.25
41,Chad,Sub-Saharan Africa,9944201,1284000,7.7,0.0,-0.11,93.82,1200,47.5,1.3,2.86,0.02,97.12,2.0,45.73,16.38,0.335,0.259,0.406
42,Chile,Latin Amer. And Carib,16134219,756950,21.3,0.85,0.0,8.8,9900,96.2,213.0,2.65,0.42,96.93,3.0,15.23,5.81,0.06,0.493,0.447
43,China,Asia (Ex. Near East),1313973713,9596960,136.9,0.15,-0.4,24.18,5000,90.9,266.7,15.4,1.25,83.35,1.5,13.25,6.97,0.125,0.473,0.40299999999999997
44,Colombia,Latin Amer. And Carib,43593035,1138910,38.3,0.28,-0.31,20.97,6300,92.5,176.2,2.42,1.67,95.91,2.0,20.48,5.58,0.125,0.342,0.5329999999999999
45,Comoros,Sub-Saharan Africa,690948,2170,318.4,15.67,0.0,74.93,700,56.5,24.5,35.87,23.32,40.81,2.0,36.93,8.2,0.4,0.04,0.56
46,"Congo, Dem. Rep.",Sub-Saharan Africa,62660551,2345410,26.7,0.0,0.0,94.69,700,65.5,0.2,2.96,0.52,96.52,2.0,43.69,13.27,0.55,0.11,0.34
47,"Congo, Repub. Of The",Sub-Saharan Africa,3702314,342000,10.8,0.05,-0.17,93.86,700,83.8,3.7,0.51,0.13,99.36,2.0,42.57,12.93,0.062,0.57,0.369
48,Cook Islands,Oceania,21388,240,89.1,50.0,,,5000,95.0,289.9,17.39,13.04,69.57,2.0,21.0,,0.151,0.096,0.753
49,Costa Rica,Latin Amer. And Carib,4075261,51100,79.8,2.52,0.51,9.95,9100,96.0,340.7,4.41,5.88,89.71,2.0,18.32,4.36,0.08800000000000001,0.299,0.614
50,Cote D'Ivoire,Sub-Saharan Africa,17654843,322460,54.8,0.16,-0.07,90.83,1400,50.9,14.6,9.75,13.84,76.41,2.0,35.11,14.84,0.27899999999999997,0.171,0.55
51,Croatia,Eastern Europe,4494749,56542,79.5,10.32,1.58,6.84,10600,98.5,420.4,26.09,2.27,71.65,,9.61,11.48,0.07,0.308,0.622
52,Cuba,Latin Amer. And Carib,11382820,110860,102.7,3.37,-1.58,6.33,2900,97.0,74.7,33.05,7.6,59.35,2.0,11.89,7.22,0.055,0.261,0.684
53,Cyprus,Near East,784301,9250,84.8,7.01,0.43,7.18,19200,97.6,,7.79,4.44,87.77,3.0,12.56,7.68,0.037000000000000005,0.198,0.765
54,Czech Republic,Eastern Europe,10235455,78866,129.8,0.0,0.97,3.93,15700,99.9,314.3,39.8,3.05,57.15,3.0,9.02,10.59,0.034,0.39299999999999996,0.573
55,Denmark,Western Europe,5450661,43094,126.5,16.97,2.48,4.56,31100,100.0,614.6,54.02,0.19,45.79,3.0,11.13,10.36,0.018000000000000002,0.24600000000000002,0.735
56,Djibouti,Sub-Saharan Africa,486530,23000,21.2,1.37,0.0,104.13,1300,67.9,22.8,0.04,0.0,99.96,1.0,39.53,19.31,0.179,0.225,0.596
57,Dominica,Latin Amer. And Carib,68910,754,91.4,19.63,-13.87,14.15,5400,94.0,304.8,6.67,20.0,73.33,2.0,15.27,6.73,0.177,0.32799999999999996,0.495
58,Dominican Republic,Latin Amer. And Carib,9183984,48730,188.5,2.64,-3.22,32.38,6000,84.7,97.4,22.65,10.33,67.02,2.0,23.22,5.73,0.11199999999999999,0.306,0.5820000000000001
59,East Timor,Asia (Ex. Near East),1062777,15007,70.8,4.7,0.0,47.41,500,58.6,,4.71,0.67,94.62,2.0,26.99,6.24,0.085,0.231,0.684
60,Ecuador,Latin Amer. And Carib,13547510,283560,47.8,0.79,-8.58,23.66,3300,92.5,125.6,5.85,4.93,89.22,2.0,22.29,4.23,0.07,0.312,0.618
61,Egypt,Northern Africa,78887007,1001450,78.8,0.24,-0.22,32.59,4000,57.7,131.8,2.87,0.48,96.65,1.0,22.94,5.23,0.149,0.35700000000000004,0.493
62,El Salvador,Latin Amer. And Carib,6822378,21040,324.3,1.46,-3.74,25.1,4800,80.2,142.4,31.85,12.07,56.08,2.0,26.61,5.78,0.099,0.302,0.599
63,Equatorial Guinea,Sub-Saharan Africa,540109,28051,19.3,1.06,0.0,85.13,2700,85.7,18.5,4.63,3.57,91.8,2.0,35.59,15.06,0.03,0.9059999999999999,0.062
64,Eritrea,Sub-Saharan Africa,4786994,121320,39.5,1.84,0.0,74.87,700,58.6,7.9,4.95,0.03,95.02,1.5,34.33,9.6,0.102,0.254,0.643
65,Estonia,Baltics,1324333,45226,29.3,8.39,-3.16,7.87,12300,99.8,333.8,16.04,0.45,83.51,3.0,10.04,13.25,0.04,0.294,0.6659999999999999
66,Ethiopia,Sub-Saharan Africa,74777981,1127127,66.3,0.0,0.0,95.32,700,42.7,8.2,10.71,0.75,88.54,2.0,37.98,14.86,0.475,0.099,0.426
67,Faroe Islands,Western Europe,47246,1399,33.8,79.84,1.41,6.24,22000,,503.8,2.14,0.0,97.86,,14.05,8.7,0.27,0.11,0.62
68,Fiji,Oceania,905949,18270,49.6,6.18,-3.14,12.62,5800,93.7,112.6,10.95,4.65,84.4,2.0,22.55,5.65,0.08900000000000001,0.135,0.7759999999999999
69,Finland,Western Europe,5231372,338145,15.5,0.37,0.95,3.57,27400,100.0,405.3,7.19,0.03,92.78,3.0,10.45,9.86,0.027999999999999997,0.295,0.6759999999999999
70,France,Western Europe,60876136,547030,111.3,0.63,0.66,4.26,27600,99.0,586.4,33.53,2.07,64.4,4.0,11.99,9.14,0.022000000000000002,0.214,0.764
71,French Guiana,Latin Amer. And Carib,199509,91000,2.2,0.42,6.27,12.07,8300,83.0,255.6,0.14,0.05,99.81,2.0,20.46,4.88,0.066,0.156,0.778
72,French Polynesia,Oceania,274578,4167,65.9,60.6,2.94,8.44,17500,98.0,194.5,0.82,5.46,93.72,2.0,16.68,4.69,0.031,0.19,0.769
73,Gabon,Sub-Saharan Africa,1424906,267667,5.3,0.33,0.0,53.64,5500,63.2,27.4,1.26,0.66,98.08,2.0,36.16,12.25,0.061,0.5920000000000001,0.348
74,"Gambia, The",Sub-Saharan Africa,1641564,11300,145.3,0.71,1.57,72.02,1700,40.1,26.8,25.0,0.5,74.5,2.0,39.37,12.25,0.308,0.142,0.5489999999999999
75,Gaza Strip,Near East,1428757,360,3968.8,11.11,1.6,22.93,600,,244.3,28.95,21.05,50.0,3.0,39.45,3.8,0.03,0.28300000000000003,0.687
76,Georgia,C.W. Of Ind. States,4661473,69700,66.9,0.44,-4.7,18.59,2500,99.0,146.6,11.44,3.86,84.7,3.0,10.41,9.23,0.172,0.275,0.5529999999999999
77,Germany,Western Europe,82422299,357021,230.9,0.67,2.18,4.16,27600,99.0,667.9,33.85,0.59,65.56,3.0,8.25,10.62,0.009000000000000001,0.29600000000000004,0.695
78,Ghana,Sub-Saharan Africa,22409572,239460,93.6,0.23,-0.64,51.43,2200,74.8,14.4,16.26,9.67,74.07,2.0,30.52,9.72,0.366,0.24600000000000002,0.387
79,Gibraltar,Western Europe,27928,7,3989.7,171.43,0.0,5.13,17500,,877.7,0.0,0.0,100.0,,10.74,9.31,,,
80,Greece,Western Europe,10688058,131940,81.0,10.37,2.35,5.53,20000,97.5,589.7,21.1,8.78,70.12,3.0,9.68,10.24,0.054000000000000006,0.213,0.733
81,Greenland,Northern America,56361,2166086,0.0,2.04,-8.37,15.82,20000,,448.9,0.0,0.0,100.0,1.0,15.93,7.84,,,
82,Grenada,Latin Amer. And Carib,89703,344,260.8,35.17,-13.92,14.62,5000,98.0,364.5,5.88,29.41,64.71,2.0,22.08,6.88,0.054000000000000006,0.18,0.7659999999999999
83,Guadeloupe,Latin Amer. And Carib,452776,1780,254.4,17.19,-0.15,8.6,8000,90.0,463.8,11.24,3.55,85.21,2.0,15.05,6.09,0.15,0.17,0.68
84,Guam,Oceania,171019,541,316.1,23.2,0.0,6.94,21000,99.0,492.0,9.09,16.36,74.55,2.0,18.79,4.48,,,
85,Guatemala,Latin Amer. And Carib,12293545,108890,112.9,0.37,-1.67,35.93,4100,70.6,92.1,12.54,5.03,82.43,2.0,29.88,5.2,0.22699999999999998,0.188,0.585
86,Guernsey,Western Europe,65409,78,838.6,64.1,3.84,4.71,20000,,842.4,,,,3.0,8.81,10.01,0.03,0.1,0.87
87,Guinea,Sub-Saharan Africa,9690222,245857,39.4,0.13,-3.06,90.37,2100,35.9,2.7,3.63,2.58,93.79,2.0,41.76,15.48,0.237,0.36200000000000004,0.401
88,Guinea-Bissau,Sub-Saharan Africa,1442029,36120,39.9,0.97,-1.57,107.17,800,42.4,7.4,10.67,8.82,80.51,2.0,37.22,16.53,0.62,0.12,0.26
89,Guyana,Latin Amer. And Carib,767245,214970,3.6,0.21,-2.07,33.26,4000,98.8,143.5,2.44,0.15,97.41,2.0,18.28,8.28,0.37,0.203,0.42700000000000005
90,Haiti,Latin Amer. And Carib,8308504,27750,299.4,6.38,-3.4,73.45,1600,52.9,16.9,28.3,11.61,60.09,2.0,36.44,12.17,0.28,0.2,0.52
91,Honduras,Latin Amer. And Carib,7326496,112090,65.4,0.73,-1.99,29.32,2600,76.2,67.5,9.55,3.22,87.23,2.0,28.24,5.28,0.139,0.312,0.5489999999999999
92,Hong Kong,Asia (Ex. Near East),6940432,1092,6355.7,67.12,5.24,2.97,28800,93.5,546.7,5.05,1.01,93.94,2.0,7.29,6.29,0.001,0.092,0.9059999999999999
93,Hungary,Eastern Europe,9981334,93030,107.3,0.0,0.86,8.57,13900,99.4,336.2,50.09,2.06,47.85,3.0,9.72,13.11,0.037000000000000005,0.312,0.6509999999999999
94,Iceland,Western Europe,299388,103000,2.9,4.83,2.38,3.31,30900,99.9,647.7,0.07,0.0,99.93,3.0,13.64,6.72,0.086,0.15,0.765
95,India,Asia (Ex. Near East),1095351995,3287590,333.2,0.21,-0.07,56.29,2900,59.5,45.4,54.4,2.74,42.86,2.5,22.01,8.18,0.18600000000000003,0.276,0.5379999999999999
96,Indonesia,Asia (Ex. Near East),245452739,1919440,127.9,2.85,0.0,35.6,3200,87.9,52.0,11.32,7.23,81.45,2.0,20.34,6.25,0.134,0.45799999999999996,0.408
97,Iran,Asia (Ex. Near East),68688433,1648000,41.7,0.15,-0.84,41.58,7000,79.4,276.4,8.72,1.39,89.89,1.0,17.0,5.55,0.11599999999999999,0.424,0.46
98,Iraq,Near East,26783383,437072,61.3,0.01,0.0,50.25,1500,40.4,38.6,13.15,0.78,86.07,1.0,31.98,5.37,0.073,0.6659999999999999,0.261
99,Ireland,Western Europe,4062235,70280,57.8,2.06,4.99,5.39,29600,98.0,500.5,15.2,0.03,84.77,3.0,14.45,7.82,0.05,0.46,0.49
100,Isle Of Man,Western Europe,75441,572,131.9,27.97,5.36,5.93,21000,,676.0,9.0,0.0,91.0,3.0,11.05,11.19,0.01,0.13,0.86
101,Israel,Near East,6352117,20770,305.8,1.31,0.68,7.03,19800,95.4,462.3,16.39,4.17,79.44,3.0,17.97,6.18,0.026000000000000002,0.317,0.657
102,Italy,Western Europe,58133509,301230,193.0,2.52,2.07,5.94,26700,98.6,430.9,27.79,9.53,62.68,,8.72,10.4,0.021,0.29100000000000004,0.688
103,Jamaica,Latin Amer. And Carib,2758124,10991,250.9,9.3,-4.92,12.36,3900,87.9,124.0,16.07,10.16,73.77,2.0,20.82,6.52,0.049,0.337,0.615
104,Japan,Asia (Ex. Near East),127463611,377835,337.4,7.87,0.0,3.26,28200,99.0,461.2,12.19,0.96,86.85,3.0,9.37,9.16,0.017,0.258,0.725
