orig,repl
"Bahamas, The",Bahamas
British Virgin Is.,British Virgin Islands
Burma,Myanmar
Central African Rep.,Central African Republic
"Congo, Dem. Rep.",Democratic Republic Of The Congo
"Congo, Repub. Of The",Republic Of The Congo
Cote D'Ivoir,Ivory Coast
"Gambia, The",Gambia
"Korea, North",North Korea
"Korea, South",South Korea
Macau,Macao
"Micronesia, Fed. St.",Micronesia
N. Mariana Islands,Northern Mariana Islands
Turks And Caicos Is,Turks And Caicos Islands
Virgin Islands,U.S. Virgin Islands
