id,name,type,city,subcountry,country
2,#oneless,ngo,london,,united kingdom
3,(red),ngo,new york city,,united states
8,1% club,ngo,amsterdam,,the netherlands
9,10 by 2020,ngo,orono,,united states
10,118 journey,priv,sabah,,malaysia
11,11th hour racing,ngo,newport,,united states
12,2020 or bust,ngo,new york city,,united states
13,2scale,ngo,accra,,ghana
14,33 buckets,ngo,tempe,,united states
15,350.org,ngo,new york city,,united states
16,3d pars,priv,burnsville,,united states
17,3m,priv,maplewood,,united states
18,4h,ngo,chevy chase,,united states
19,500 sails,ngo,saipan,,mariana islands
20,808 cleanups,ngo,honolulu,,united states
21,a n sinha institute of social studies,sci,patna,,india
22,a plastic planet,ngo,london,,united kingdom
23,a rocha international,ngo,london,,united kingdom
24,a to z textile mills ltd.,priv,arusha,,tanzania
25,a world at school,ngo,london,,united kingdom
26,a world institute for a sustainable humanity - international,ngo,lopez island,,united states
27,a. k. khan healthcare trust,ngo,dhaka,,bangladesh
28,aai - baba bahuudyeshyeey vyayam kendra,ngo,amravati,,india
29,aalborg university,acad,aalborg,,denmark
30,"aalto university, finland",acad,espoo,,finland
31,aarhus university,acad,aarhus,,denmark
32,aasthan latif welfare society,ngo,sindh,,pakistan
33,ab inbev,priv,leuven,,belgium
34,abb group,priv,zurich,,switzerland
35,abcon - brazilian association of private concessions of public water and sewage services,ngo,sao paulo,,brazil
36,abcya.com,priv,providence,,united states
37,abdul monem limited,priv,dhaka,,bangladesh
38,abdus salam international centre for theoretical physics,sci,trieste,,italy
39,abertine rift conservation society,ngo,cambridge,,united kingdom
40,abhivyakti media for development,ngo,nashik,,india
41,abia state,subgov,umuahia,,nigeria
42,abibiman foundation,ngo,tema,,ghana
43,abiplast - brazilian plastics industry association,ngo,sao paulo,,brazil
44,ablechildafrica,ngo,london,,united kingdom
45,abn amro bank nv,priv,amsterdam,,netherlands
46,aborigenes institute,ngo,sao paulo,,brazil
47,abu dhabi fund for development,ngo,abu dhabi,,united arab emirates
48,abundance foundation,ngo,santo domingo,,dominican republic
49,abusua foundation,ngo,cape coast,,ghana
50,abzesolar s.a.,priv,bamako,,mali
51,ac coverts,priv,dartmouth,,canada
52,academic alliance for aids care/prevention in africa,sci,kampala,,uganda
53,academic association of lisbon,ngo,lisbon,,portugal
54,academic committee of state key laboratory of large yellow croaker breeding,sci,ningde,,china
55,academic publisher,priv,budapest,,hungary
56,academy for educational development,ngo,washington dc,,united states
57,academy for international science and research,acad,derry,,united kingdom
58,academy of engineering and green technologies,acad,hartford,,united states
59,academy of fine arts and design of aruba,acad,oranjestad,,aruba
60,academy of innovation for sustainability,priv,bogota,,colombia
61,academy of learning nigeria,acad,abuja,,nigeria
62,acadian regional federation of professional fishermen,ngo,shippagan,,canada
7,acb - réseau des bretons d'influence,ngo,paris,,france
63,accenture,priv,dublin,,ireland
64,acción international,ngo,cambridge,,united states
65,accion rse,ngo,santiago,,chile
66,acciona,priv,madrid,,spain
67,accobams,un,monte carlo,,monaco
68,accord 3.0 consultants,priv,honolulu,,united states
69,accord a vocation du travail,ngo,gasabo,,rwanda
70,accounting for international development,ngo,london,,united kingdom
71,accra,subgov,accra,,ghana
72,accur8africa,ngo,london,,united kingdom
73,acd- agency for cultural diplomacy,ngo,vienna,,austria
74,aceh aquaculture cooperative,priv,aceh,,indonesia
75,acionista,priv,porto alegre,,brazil
76,acopia,subgov,acopia,,peru
77,acoplama,ngo,coiba island,,panama
78,acoustical society of america,sci,college park,,united states
79,acp secretariat,intergov,brussels,,belgium
80,acquawise,priv,obidos,,portugal
81,act alliance,ngo,geneva,,switzerland
82,act for change,ngo,accra,,ghana
83,act institute,ngo,recife,,brazil
84,action center for the development of local organizations,ngo,port-au-prince,,haiti
85,action for economic and agricultural development,ngo,bukavu,,congo
86,action for economic reforms,ngo,quezon city,,philippines
87,action fund,ngo,bogota,,columbia
88,action of study and valuation of the environment,ngo,bamako,,mali
89,action platform on source-to-sea management,ngo,stockholm,,sweden
90,actionaid international,ngo,johannesburg,,south africa
91,active projectile ltd,priv,lagos,,nigeria
92,active remedy ltd.,ngo,london,,united kingdom
93,acuario nacional,sci,santo domingo,,dominican republic
94,acumen,ngo,new york city,,united states
95,ada district assembly,subgov,ada,,ghana
96,ada traditional council,ngo,ada,,ghana
97,adama science and technology university,acad,adama,,ethiopia
98,adaptation fund,un,washington dc,,united states
99,add international,ngo,london,,united kingdom
100,addis ababa,subgov,addis ababa,,ethiopia
101,addis ababa university,acad,addis ababa,,ethiopia
102,adelphi research,priv,doylestown,,united states
103,adesco 13 de enero,ngo,san isidiro,,el salvador
104,adescocasal,ngo,el salamar,,el salvador
105,adescoccal,ngo,la calzada,,el salvador
106,adescoch,ngo,san sebastián el chingo,,el salvador
107,adescocoegcgz,ngo,esperanzas de guadalupe,,el salvador
108,adescoeco,ngo,caserío el conacaste,,el salvador
109,adescoiselcor,ngo,isla el cordoncillo,,el salvador
110,adescoquis,ngo,quinta,,el salvador
111,adescoran,ngo,el ranchon,,el salvador
112,adidas,priv,herzogenaurach,,germany
113,adolescence education programme,ngo,new delhi,,india
114,adolescent health information project,ngo,kano,,nigeria
115,adsorptech inc,priv,middlesex,,united states
116,"advanced research center for health, environment and space",sci,bari,,italy
117,adventist development and relief agency,ngo,silver spring,,united states
118,adventure journeyworld travel,priv,kota kinabalu,,malaysia
119,advertising and marketing superior school,acad,sao paulo,,brazil
120,advice on biotechnology,ngo,sao paulo,,brazil
121,advocacy forum,ngo,kathmandu,,nepal
122,advocate for youth uganda,ngo,kampala,,uganda
123,advocates coalition for development and environment,ngo,kampala,,uganda
124,aea technology plc,priv,harwell,,united kingdom
125,aecom,priv,los angeles,,united states
126,aegean university,acad,mytilene,,greece
127,aerogeophysica latinoamerica,priv,sao paulo,,brazil
128,aes,priv,arlington (va),,united states
129,afd development bank,natgov,paris,,france
130,afghanistan,natgov,kabul,,afghanistan
131,afghanistan human rights organization,ngo,london,,united kingdom
132,afghanistan independent bar association,ngo,kabul,,afghanistan
133,aflatoun,ngo,amsterdam,,netherlands
134,africa adaptnet,ngo,dakar,,senegal
135,africa conservation fund,ngo,london,,united kingdom
136,africa gathering,priv,london,,united kingdom
137,africa governance initiative,ngo,london,,united kingdom
138,africa sustainable energy association,ngo,johannesburg,,south africa
139,africa unite,ngo,cape town,,south africa
140,africa water enterprises,ngo,hollington,,united kingdom
141,africalia,ngo,brussels,,belgium
142,african agricultural technology foundation,ngo,nairobi,,kenya
143,african center for biodiversity,ngo,johannesburg,,south africa
144,african center for technology studies,ngo,nairobi,,kenya
145,african center of meteorological applications for development,intergov,niamey,,niger
146,african climate policy centre,intergov,addis ababa,,ethiopia
147,african confederation of artisanal fisheries organizations,ngo,dakar,,senegal
148,african conservation foundation,ngo,london,,united kingdom
149,african cultural exchange,ngo,new york city,,united states
150,african democracy forum,ngo,kigali,,rwanda
151,african development bank,intergov,abidjan,,cote d'ivoire
152,african disability forum,ngo,addis ababa,,ethiopia
153,african energy policy research network,ngo,nairobi,,kenya
154,african forum for utility regulators,ngo,pretoria,,south africa
155,african foundation for environment and climate change,ngo,sokoto,,nigeria
156,african grantmakers network,ngo,warrenton,,united states
157,african hiv in prisons partnership network,ngo,johannesburg,,south africa
158,african indigenous and minority people,ngo,kigali,,rwanda
159,african marine waste network,ngo,kenton,,south africa
160,african medical and research foundation,ngo,new york city,,united states
161,african ministerial conference on the environment,intergov,nairobi,,kenya
162,african monitor,ngo,cape town,,south africa
163,african mountain association,ngo,wageningen,,netherlands
164,african network campaign on education for all,ngo,dakar,,senegal
165,african network of scientific and technological institutions,ngo,nairobi,,kenya
166,african philanthropy network,ngo,dar es salaam,,tanzania
167,african roundtable on sustainable consumption and production,ngo,dar es salaam,,tanzania
168,african society for engineering management,ngo,abuja,,nigeria
169,african union,intergov,addis ababa,,ethiopia
170,african union chapter,ngo,k’shani,,south africa
171,african water association,ngo,abidjan,,cote d'ivoire
172,african wildlife foundation,ngo,nairobi,,kenya
173,african women development fund,ngo,accra,,ghana
174,african women's economic policy network,ngo,kampala,,uganda
175,african women's network for community management of forests,ngo,yaounde,,cameroon
176,african youth in philanthropy network,ngo,new york,,united states
177,african youth initiative on climate change,ngo,kanifing,,gambia
178,african youth union,ngo,pretoria,,south africa
179,"african, caribbean and pacific group of states secretariat",intergov,brussels,,belgium
180,african-hungarian union,ngo,budapest,,hungary
181,afrilabs,ngo,abuja,,nigeria
182,afroatlantic theologies & treaties institute,ngo,wappinger falls,,united states
183,afton chemicals,priv,richmond,,united states
184,aga khan development network,ngo,geneva,,switzerland
185,aga khan university,acad,karachi,,pakistan
186,agama energy,priv,cape town,,south africa
187,agbar foundation,ngo,barcelona,,spain
188,ageing nepal,ngo,nagarjun,,nepal
189,agence france-presse,priv,paris,,france
