orig,repl
"), care international,",care international
", accur8africa,",accur8africa
", ceará,",ceará
", cepei,",cepei
", data2x,",data2x
", décider ensemble, durapole,",décider ensemble
", escap,",escap
", national bureau of statistics (nbs) - tanzania,",tanzania
", oxford poverty and human development initiative (ophi),",oxford poverty and human development initiative
", partnership in statistics for development in the 21st century (paris21),",partnership in statistics for development in the 21st century
", real impact analytics,",real impact analytics
", sdg philanthropy platform,",sdg philanthropy platform
", south australia,",south australia
", telefonica,",telefonica
", transparency international,",transparency international
", world bank group,",world bank
; cap-net united nations development program,united nations development program
; energy research center netherlands (ecn) (netherlands);,energy research center of the netherlands
; ina;,general directorate of qualification of public employees
"; kiribati: k-organic producers,",k-organic producers
; nrg4sd - network of subnational governments for sustainable development,network of subnational governments for sustainable development
; organisation of eastern caribbean states (oecs);,organization of eastern caribbean states
18. university of hawai‘i (uh),university of hawai'i
22. hawai‘i green growth (hgg) - coordinator,hawai'i green growth
23. agricultural leadership foundation of hawai?i,agricultural leadership foundation of hawaii
24. blue planet foundation,blue planet foundation
25. coordinating group on alien pest species,coordinating group on alien pest species
26. enterprise honolulu,Oahu Economic Development Board
28. harold k.l. castle foundation,harold k.l. castle foundation
29. hau‘oli mau loa foundation,hau'oli mau loa foundation
3. county of hawai‘i,county of hawai'i
35. kamehameha schools,kamehameha schools
350 pacific climate warriors,350.org
350org.,350.org
37. kaua‘i action & planning alliance,kaua‘i action and planning alliance
3m canada,3m
40. m?lama hawai‘i,m?lama hawaii
41. m?lama learning center,m?lama learning center
42. m?lama maunalua,m?lama maunalua
43. national tropical botanical garden,national tropical botanical garden
44. pacific islands climate change cooperative,pacific islands climate change cooperative
45. polynesian voyaging society,polynesian voyaging society
47. slow food hawai’i,slow food hawaii
48. sustain hawai’i,sustain hawaii
49. tri-isle resource conservation & development,tri-isle resource conservation and development
5. county of maui,county of maui
50. the nature conservancy of hawai’i,nature conservancy
51. world conservation congress 2016 - hawai’i committee business,international union for conservation of nature
52. accord 3.0 consultants,accord 3.0 consultants
53. hawaiian electric company,hawaiian electric company
54. kyo-ya/starwood hotels,starwood hotels and resorts
"55. sustainability partners, inc.","sustainability partners, inc."
"56. susty pacific, llc","susty pacific, llc"
57. town restaurant,town restaurant
58. pineapple tweed public relations & marketing,pineapple tweed public relations and marketing
aal;,academic association of lisbon
aapeq,agro-fishing eco-tourist association of quebro
abae;,blue flag association for europe
abb,abb group
abb oy,abb group
abdus salam institute for theoretical physics,abdus salam international centre for theoretical physics
abeta: associação brasileira das empresas de turismo de aventura,brazilian association of adventure tourism companies
abeta: associação brasileira das empresas de turismo de aventura (brazil),brazilian association of adventure tourism companies
"abia state, nigeria",abia state
abinbev,ab inbev
abn amro,abn amro bank nv
abn amro bank nv (united kingdom of great britain and northern ireland),abn amro bank nv
abril,april
académie des sciences de france,french academy of sciences
académie des sciences de france (france),french academy of sciences
academy for educational development (aed) (united states),academy for educational development
academy for technological innovation & research,academy for international science and research
academy of preventive medicine (china),china
acb - réseau des bretons d'influence,breton network of influence
"acb - réseau des bretons d'influence,",acb - réseau des bretons d'influence
accra metropolitan assembly,accra
"acidd,",acidd
action d'etude et de valorisation de l'environnement,action of study and valuation of the environment
action d'etude et de valorisation de l'environnement (aceve),action of study and valuation of the environment
action solidarit tiers monde,third world solidarity
actionaid,actionaid international
acuario nacional,dominican republican national aquarium
adama science & technology university (ethiopia);,adama science and technology university
adsorptech inc (united states),adsorptech inc
advent development and relief agency,adventist development and relief agency
adventist development relief agency,adventist development and relief agency
adventist disaster relief agency,adventist development and relief agency
aea technology plc (united kingdom of great britain and northern ireland),aea technology plc
"aea technology,",aea technology plc
aepsa;,association of portuguese companies for the environment sector
afp,agence france-presse
afrepren,african energy policy research network
afrepren/fwd,african energy policy research network
afrepren/fwd (kenya),african energy policy research network
"africa gathering,",africa gathering
"africa, caribbean and the pacific secretariat","african, caribbean and pacific group of states secretariat"
"africa, caribbean, pacific","african, caribbean and pacific group of states secretariat"
african centre for technology studies,african center for technology studies
"african centre for technology studies (acts),",african center for technology studies
african centre of meteorological applications for development,african center of meteorological applications for development
"african development bank (adb),",african development bank
african development bank group,african development bank
"african development bank,",african development bank
"african development fund,",african development fund
african forum for utility regulators (afur) (south africa),african forum for utility regulators
african union commission (auc),african union
african union commission auc,african union
"african union commission,",african union
afroatlantic theologies & treaties insrtitute,afroatlantic theologies & treaties institute
afton chemicals (united states),afton chemicals
aga khan foundation,aga khan development network
aga khan foundation portugal;,aga khan development network
aga khan planning and building service (pakistan),aga khan development network
aga khan university (pakistan),aga khan university
agama energy (south africa),agama energy
agence de l’eau rhône méditerranée corse (aermc) (government),rhône méditerranée corse water agency
agence internationale pour le développement de l'information environnementale,international agency for the development of environmental information
agence universitaire de la francophonie,university agency of la francophonie
agencia internacional de cooperación y desarrollo,international cooperation and development agency
agency for rational energy use and ecology (ukraine),agency for rational energy use and ecology
agenzia per la promozione della ricerca europea,agency for the promotion of european research
"agora,",agora
"agreement on the conservation of small cetaceans of the baltic, north east atlantic, irish and north seas (ascobans),",ascobans
agricultural development institute (adi),agricultural development institute
agricultural economics society (united kingdom of great britain and northern ireland),agricultural economics society
agricultural resesarch council,agricultural research council
agrimat and transcol (ghana),agrimat
agrinergy ltd (united kingdom of great britain and northern ireland),agrinergy ltd
agrivet (madagascar),agrivet
agro campus quest,agrocampus ouest
aidafrica (united states),aidafrica
"aiddata,",aiddata
aides et actions,aid and actions
aiesec,aiesec international
aiesec;,aiesec international
"aimst university,",aimst university
aiso (academia de innovacion para la sostenibilidad),academy of innovation for sustainability
akadémiai kiadó,academic publisher
akadémiai kiadó (hungary),academic publisher
alam lestari,sustainable nature
alaska permanent fund,alaska permanent fund corporation
albemarle,albemarle
albion,albion farms and fisheries
albion fisheries research center,albion fisheries research centre
"alchem field services, inc. (united states)","alchem field services, inc."
alexander von humboldt institute,alexander von humboldt biological resources research institute
alfred-wegener-institut,alfred wegener institute
alianza verde,green alliance
alianza verde (guatemala),green alliance
all-china youth federation (china),all-china youth federation
alliance des pcheurs professionnels du qubec,alliance of quebec professional fishermen
alliance francaise,french alliance
alliance maghreb pour l'eau,maghreb alliance for water
alliance of automobile manufacturers (united states),alliance of automobile manufacturers
alliance to save energy (united states),alliance to save energy
"almae,",almae
almeda,almeida
altis-università cattolica del sacro cuore,altis-catholic university of the sacred heart
"amambay,",amambay
amathus holidays,amathus holidays
"american chemical society, division of chemical health and safety (united states)",american chemical society
american college of obstetricians & gynaecologists,american college of obstetricians and gynecologists
american council on renewable energy (acore) (united states),american council on renewable energy
american feline practitioners association (united states),american feline practitioners association
american institute of chemical engineers (aiche) (united states),american institute of chemical engineers
american microscopical society (united states),american microscopical society
american petroleum institute (united states),american petroleum institute
american physiological society (united states),american physiological society
american society of naturalists (united states),american society of naturalists
american society of plant biologists (united states),american society of plant biologists
american university in cairo;,american university in cairo
amt für wirtschaft und tourismus graubünden,graubünden
anatomical society of great britain and ireland (united kingdom of great britain and northern ireland),anatomical society of great britain and ireland
andean development corporation – development bank of latin america,development bank of latin america
anglo coal australia,anglo american plc
annual reviews (united states),annual reviews
anse la raie vmca committee,reef conservation society
appropriate rural technology institute (india),appropriate rural technology institute
aprotech asia (philippines),Asian Alliance of Approprate technology Practitioners
aprovecho research center (united states),aprovecho research center
aquario,aquarium
aquario de ubatuba,ubatuba aquarium
ar now! (philippines),ar now!
araucanía.,araucanía
"arcadis us, inc.","arcadis us, inc."
areas protegidas y vida silvestre roatan marine park,protected areas and wildlife roatan marine park
arf - association des régions de france,association of french regions
"arf - association des régions de france,",association of french regions
"argentina 
geoestudios",argentina geoestudios
arm,arm technology
armada dominicana,dominican republic
"armateurs de france,",armateurs de france
arrecifes saludables,healthy reefs initiative
artisanal gold council,artisanal gold council
asean,association of southeast asian nations
asean secretariat,association of southeast asian nations
asia development bank  ,asian development bank
asia development bank (philippines),asian development bank
"asia pacific association of medical journal editors (apame),",asia pacific association of medical journal editors
asia pacific network for global change research sustainable development solutions network,asia pacific network for global change research
asia regional cookstove program (philippines),asia regional cookstove program
