id,name,type,city_name,subcountry_name,country_name,site
1,"""Sail Of Hope""",Ngo,Moscow,,Russia,"Moscow, , Russia"
2,#Oneless,Ngo,London,,United Kingdom,"London, , United Kingdom"
3,(Red),Ngo,New York City,,United States,"New York City, , United States"
4,#NAME?,Ngo,Santiago,,Chile,"Santiago, , Chile"
5,Community And Family Foundation,Ngo,Accra,,Ghana,"Accra, , Ghana"
6,Sustainable Travel International,Ngo,Seattle,,United States,"Seattle, , United States"
7,Acb - Réseau Des Bretons D'Influence,Ngo,Paris,,France,"Paris, , France"
8,1% Club,Ngo,Amsterdam,,The Netherlands,"Amsterdam, , The Netherlands"
9,10 By 2020,Ngo,Orono,,United States,"Orono, , United States"
10,118 Journey,Priv,Sabah,,Malaysia,"Sabah, , Malaysia"
11,11th Hour Racing,Ngo,Newport,,United States,"Newport, , United States"
12,2020 Or Bust,Ngo,New York City,,United States,"New York City, , United States"
13,2scale,Ngo,Accra,,Ghana,"Accra, , Ghana"
14,33 Buckets,Ngo,Tempe,,United States,"Tempe, , United States"
15,350.Org,Ngo,New York City,,United States,"New York City, , United States"
16,3d Pars,Priv,Burnsville,,United States,"Burnsville, , United States"
17,3m,Priv,Maplewood,,United States,"Maplewood, , United States"
18,4h,Ngo,Chevy Chase,,United States,"Chevy Chase, , United States"
19,500 Sails,Ngo,Saipan,,Mariana Islands,"Saipan, , Mariana Islands"
20,808 Cleanups,Ngo,Honolulu,,United States,"Honolulu, , United States"
21,A N Sinha Institute Of Social Studies,Sci,Patna,,India,"Patna, , India"
22,A Plastic Planet,Ngo,London,,United Kingdom,"London, , United Kingdom"
23,A Rocha International,Ngo,London,,United Kingdom,"London, , United Kingdom"
24,A To Z Textile Mills Ltd.,Priv,Arusha,,Tanzania,"Arusha, , Tanzania"
25,A World At School,Ngo,London,,United Kingdom,"London, , United Kingdom"
26,A World Institute For A Sustainable Humanity - International,Ngo,Lopez Island,,United States,"Lopez Island, , United States"
27,A. K. Khan Healthcare Trust,Ngo,Dhaka,,Bangladesh,"Dhaka, , Bangladesh"
28,Aai - Baba Bahuudyeshyeey Vyayam Kendra,Ngo,Amravati,,India,"Amravati, , India"
29,Aalborg University,Acad,Aalborg,,Denmark,"Aalborg, , Denmark"
30,"Aalto University, Finland",Acad,Espoo,,Finland,"Espoo, , Finland"
31,Aarhus University,Acad,Aarhus,,Denmark,"Aarhus, , Denmark"
32,Aasthan Latif Welfare Society,Ngo,Sindh,,Pakistan,"Sindh, , Pakistan"
33,Ab Inbev,Priv,Leuven,,Belgium,"Leuven, , Belgium"
34,Abb Group,Priv,Zurich,,Switzerland,"Zurich, , Switzerland"
35,Abcon - Brazilian Association Of Private Concessions Of Public Water And Sewage Services,Ngo,Sao Paulo,,Brazil,"Sao Paulo, , Brazil"
36,Abcya.Com,Priv,Providence,,United States,"Providence, , United States"
37,Abdul Monem Limited,Priv,Dhaka,,Bangladesh,"Dhaka, , Bangladesh"
38,Abdus Salam International Centre For Theoretical Physics,Sci,Trieste,,Italy,"Trieste, , Italy"
39,Abertine Rift Conservation Society,Ngo,Cambridge,,United Kingdom,"Cambridge, , United Kingdom"
40,Abhivyakti Media For Development,Ngo,Nashik,,India,"Nashik, , India"
41,Abia State,Subgov,Umuahia,,Nigeria,"Umuahia, , Nigeria"
42,Abibiman Foundation,Ngo,Tema,,Ghana,"Tema, , Ghana"
43,Abiplast - Brazilian Plastics Industry Association,Ngo,Sao Paulo,,Brazil,"Sao Paulo, , Brazil"
44,Ablechildafrica,Ngo,London,,United Kingdom,"London, , United Kingdom"
45,Abn Amro Bank Nv,Priv,Amsterdam,,Netherlands,"Amsterdam, , Netherlands"
46,Aborigenes Institute,Ngo,Sao Paulo,,Brazil,"Sao Paulo, , Brazil"
47,Abu Dhabi Fund For Development,Ngo,Abu Dhabi,,United Arab Emirates,"Abu Dhabi, , United Arab Emirates"
48,Abundance Foundation,Ngo,Santo Domingo,,Dominican Republic,"Santo Domingo, , Dominican Republic"
49,Abusua Foundation,Ngo,Cape Coast,,Ghana,"Cape Coast, , Ghana"
50,Abzesolar S.A.,Priv,Bamako,,Mali,"Bamako, , Mali"
51,Ac Coverts,Priv,Dartmouth,,Canada,"Dartmouth, , Canada"
