id,un_id,title,site,repeats
1,00031,Saving 1 Megawatt-Hour Of Power Every Day,,1
2,00032,Without Water There Is No Life - Educational Component,,1
3,00036,Promotion Of Green Productivity For Sustainable Development,,1
4,00060,A Youth Delegation'S Commitment To Mission Leading Up To And During The Earth Summit,,1
5,00062,Preparedness For Environmental Emergencies,,1
6,00066,International Ecocity Framework And Standards Initiative,,1
7,00070,Vision 2050: A New Agenda For Business In Brazil,,1
8,00073,The Sustainagro Initiative,,1
9,00074,Wind Power And Climate Change: Sustainable Development In Ceará (Brazil),,1
10,00075,Access To Sustainable Electrification: Bridging The Financial And Entrepreneurial Gap And Boosting The Clean Development Mechanism,,1
11,00076,World Environmental Constitution: A Tool For Urgent Transformation,,1
12,00077,Greening Of Education: Ukraine'S Contribution,,1
13,00078,Uic Declaration On Sustainable Mobility,,1
14,00079,"Mountain Knowledge Solutions For Sustainable Green Economy And Improved Water, Food, Energy, And Environment Nexus",,1
15,00080,Supporting Women'S Leadership In Sustainable Agriculture And Forestry Initiatives,,1
16,00085,Local Communities And Sustainable Development,,1
17,00088,15/15/15 Un - Civil Society Partnership Voluntary Committment,,1
18,00091,Vinylplus,Global,1
19,00092,Sustaining Resilience - Development In Crisis,,1
20,00093,Min-E Access: Minimum Electricity Access,,1
21,00095,La Trobe University,,1
22,00096,Mainstreaming The 3Rs And Resource Efficiency In The Overall Policy Development At Local And National Levels In Asia-Pacific Countries,,1
23,00097,Rmit University,,1
24,00098,University Of Ballarat,,1
25,00099,University Of Technology Sydney,,1
26,00100,"University Of Natural Resources And Life Sciences, Vienna",,1
27,00101,International Sakharov Environmental University,,1
28,00102,Instituto Superior De Administração E Economia,,1
29,00103,International Institute For Water And Environmental Engineering,,1
30,00104,Université Laval,,1
31,00105,Renmin University Of China,,1
32,00106,Tongji University,,1
33,00107,Fundacion Universitaria Del Area Andina,,1
34,00108,Universidad De Ciencias Aplicadas Y Ambientales,,1
35,00109,Universidad De Santander-Udes,,1
36,00110,"School Of Business And Social Sciences, Aarhus University",,1
37,00111,Universidad Casa Grande,,1
38,00112,Cairo University,,1
39,00113,Addis Ababa University,,1
40,00114,"Aalto University, Finland",,1
41,00115,"Novia University Of Applied Sciences, Finland",,1
42,00116,Kedge - Bordeaux Campus (Ex Bem),,1
43,00117,L École De Design Nantes Atlantique,,1
44,00118,Ecole Des Métiers De LEnvironnement,,1
45,00119,Ecole Des Mines De Nantes,,1
46,00120,Ecole Nationale Supérieure De Mécanique Et DAérotechnique,,1
47,00121,Ecole Nationale Supérieure Des Mines De Saint-Etienne,,1
48,00122,Ecole Nationale Vétérinaire De Toulouse,,1
49,00123,Ecole Supérieur Des Sciences Commerciales DAngers,,1
50,00124,Escem Tours-Poitiers,,1
51,00125,Escp Europe,,1
52,00126,Esg Management School,,1
53,00127,Essec Business School,,1
54,00128,Kedge - Marseille Campus (Ex Euromed),,1
55,00129,Grenoble Ecole De Management,,1
56,00130,Groupe Esc Pau,,1
57,00131,Nexus: Climate Change Mitigation And Poverty Alleviation Through Access To Essential Services,,1
58,00132,100 Million Trees By 2017,,1
59,00133,Planting Seeds Of Action,,1
60,00134,Adapting Forest Policies To Climate Change In The Mena Region For Optimizing The Sustainable Provision Of Mediterranean Forests' Goods And Services For Populations.,,1
61,00135,People'S Sustainability Treaty On Higher Education,,1
62,00136,Groupe Esc Toulouse (Toulouse Business School),,1
63,00137,Groupe Sup De Co La Rochelle,,1
64,00138,Hautes Etudes DIngénieurs Hei,,1
65,00139,Icn Business School Nancy- Metz,,1
66,00140,Institut Des Sciences Et Industries Du Vivant Et De LEnvironnement,,1
67,00141,Institut Polytechnique Lasalle Beauvais,,1
68,00142,Jean Moulin Lyon 3 University,,1
69,00143,Mines Paristech,,1
70,00144,Sustainability Ambitions 2020,,1
71,00145,Polytech Montpellier,,1
72,00146,Pres Université De Toulouse,,1
73,00147,Reims Management School,,1
74,00148,Skema Business School,,1
75,00149,Télécom Bretagne,,1
76,00150,Université DAix Marseille,,1
77,00151,"Université De Bourgogne, Dijon",,1
78,00152,Université Des Antilles Et De La Guyane,,1
79,00153,University Of Versailles Saint Quentin En Yvelines,,1
80,00154,University For Development Studies,,1
81,00155,Baltic College,,1
82,00156,Nuertingen-Geislingen University-Ngu,,1
83,00157,Pforzheim University,,1
84,00158,University Of Education Ph Schwaebisch Gmuend-Ph Sg,,1
85,00159,Universidad Rafael Landìvar-Url,,1
86,00160,Birla Institute Of Management Technology,,1
87,00161,Narsee Monjee Institute Of Management Studies,,1
88,00162,Teri University-Tu,,1
89,00163,University Of Limerick,,1
90,00164,Altis-Università Cattolica Del Sacro Cuore,,1
91,00165,Mib School Of Management,,1
92,00166,Politecnico Di Bari,,1
93,00167,Università Ca Foscari Venezia,,1
94,00168,Università Degli Studi Di Ferrara,,1
95,00169,Università Della Calabria,,1
96,00170,University Of Enna Kore,,1
97,00171,University Of Salento,,1
98,00172,"Icc Green Economy Roadmap - A Guide For Business, Policymakers And Society",,1
99,00174,Okayama University,,1
100,00175,Al Farabi Kazakh National University,,1
101,00176,University Of Nairobi,,1
102,00177,Issykkul State University,,1
103,00178,Osh State University-Osu,,1
104,00179,Riga International School Of Economics And Business Administration,,1
105,00180,Notre Dame University  Louaize,,1
106,00181,Smk University Of Applied Social Sciences (Smk),,1
107,00182,"Universidad Iberoamericana, A.C.",,1
108,00183,Health Check Up And Medical Camp For Families Of Miners,,1
109,00184,Unitec Institute Of Technology,,1
110,00185,Ebonyi State University,,1
111,00186,Rivers State University Of Science And Technology,,1
112,00187,University Of Lagos,,1
113,00188,University Of Oslo,,1
114,00189,Mapua Institute Of Technology,,1
115,00190,Catholic University Of Portugal (Porto) College Of Biotechnology,,1
116,00191,Instituto Superior De Engenharia De Lisboa,,1
117,00192,"Faculty Of Administration And Business, University Of Bucharest",,1
118,00193,Baikal International Business School,,1
119,00194,International Management Institute Of St. Petersburg,,1
120,00195,Russian State University Of Trade And Economics,,1
121,00196,Saintate University Of Management,,1
122,00197,Ural State University Of Economics,,1
123,00198,"Higher School Of Professional Business Studies, Novi Sad",,1
124,00199,Faculty Of Economics University Of Ljubljana,,1
125,00200,Iedc-Bled School Of Management,,1
126,00201,Gordon Institute Of Business Science,,1
127,00202,Uct Graduate School Of Business,,1
128,00203,Esade Foundation,,1
129,00204,Doubling The Market Share Of Public Transport Worldwide By 2025,,1
130,00205,School Of Industrial Engineering Of Technical University Of Madrid,,1
131,00206,Universitat De València,,1
132,00207,University Of Santiago De Compostela,,1
133,00208,Gotland University,,1
134,00209,University Of Gävle,,1
135,00210,Business School Lausanne,,1
136,00211,Educatis University,,1
137,00212,University Of Applied Sciences Htw Chur,,1
138,00213,University Of Lausanne,,1
139,00214,Asian Institute Of Technology,,1
140,00215,Istanbul Bilgi University,,1
141,00216,Ternopil Ivan Puluj National Technical University,,1
142,00217,Anglia Ruskin University,,1
143,00219,Canterbury Christ Church University,,1
144,00220,"Carbonn Cities Climate Registry (Cccr) For Measurable, Reportable, Verifiable Local Climate Action",,1
145,00221,"Biodiversity, Forests And Other Ecosystems",,1
146,00222,Plymouth University,,1
147,00223,University Of Exeter,,1
148,00224,University Of Gloucestershire,,1
149,00225,Grenada Vision 2030 Goal - 100% Green Electricity And Transport,,1
150,00226,University Of Salford,,1
151,00227,"University Of Wales, Newport-Uwn",,1
152,00228,Bentley University,,1
153,00229,Chatham University,,1
154,00230,Barbados Declaration - Voluntary Commitment By Grenada,,1
155,00231,Barbados Declaration - Voluntary Commitment By Nauru,,1
156,00232,George Mason University,,1
157,00233,Barbados Declaration - Voluntary Commitment By Barbados,,1
158,00234,The Ifoam Global Organic Research Network (Igorn),,1
159,00235,Barbados Declaration - Voluntary Commitment By Antigua And Barbuda,,1
160,00236,Barbados Declaration - Voluntary Commitment By Cape Verde,,1
161,00237,Barbados Declaration - Voluntary Commitment By Cook Islands,,1
162,00238,Barbados Declaration - Voluntary Commitment By Dominica,,1
163,00239,Barbados Declaration - Voluntary Commitment By Dominican Republic,,1
164,00240,Barbados Declaration - Voluntary Commitment By Fiji,,1
165,00241,Barbados Declaration - Voluntary Commitment By Guyana,,1
166,00242,Barbados Declaration - Voluntary Commitment By Maldives,,1
167,00243,Barbados Declaration - Voluntary Commitment By Marshall Islands,,1
168,00244,Barbados Declaration - Voluntary Commitment By Mauritius,,1
169,00245,Barbados Declaration - Voluntary Commitment By Palau,,1
170,00246,Barbados Declaration - Voluntary Commitment By Saint Lucia,,1
171,00247,Barbados Declaration - Voluntary Commitment By Saint Vincent And The Grenadines,,1
172,00248,Barbados Declaration - Voluntary Commitment By Samoa,,1
173,00249,Barbados Declaration - Voluntary Commitment By Seychelles,,1
174,00250,Barbados Declaration - Voluntary Commitment By Solomon Islands,,1
175,00251,Barbados Declaration - Voluntary Commitment By Timor-Leste,,1
176,00252,Barbados Declaration - Voluntary Commitment By Tonga,,1
177,00253,Barbados Declaration - Voluntary Commitment By Tuvalu,,1
178,00254,Macalester College,,1
179,00255,Onondaga Community College,,1
180,00256,Seattle University,,1
181,00257,Saintate University Of New York (Suny),,1
182,00258,Saintate University Of New York At Fredonia,,1
183,00259,Saintate University Of New York College At Geneseo,,1
184,00260,Saintate University Of New York Empire State College,,1
185,00261,Suny Delhi,,1
186,00262,The State University Of New York College Of Environmental Science And Forestry,,1
