un_id,name,n
00031,Tarumitra,0
00032,The International Health Awareness Network,0
00036,"Asian Productivity Organization, Tokyo, Japan",0
00060,Saintudents On Ice Alumni Delegation,0
00062,Green Cross International,0
00066,Ecocity Builders,0
00070,World Business Council For Sustaianble Development,0
00073,Conselho De Informacoes Sobre Biotecnologia,0
00074,Jci,0
00075,France,0
00076,International Institute-Association Of Regional Ecological Problems,0
00077,International Institute-Association Of Regional Ecological Problems,0
00078,International Union Of Railways,0
00079,International Centre For Integrated Mountain Development,0
00080,Women Organizing For Change In Agriculture And Natural Resources Management (Wocan),0
00085,350Org.,0
00088,International Association For The Advancement Of Innovative Approaches To Global Challenges (Iaai),0
00091,The European Council Of Vinyl Manufacturers,0
00092,Pakistan,0
00093,Adama Science And Technology University (Ethiopia);,0
00095,La Trobe University,0
00096,United Nations Centre For Regional Development,0
00097,Rmit University,0
00098,University Of Ballarat,0
00099,University Of Technology Sydney,0
00100,"University Of Natural Resources And Life Sciences, Vienna",0
00101,International Sakharov Environmental University,0
00102,Instituto Superior De Administração E Economia,0
00103,International Institute For Water And Environmental Engineering,0
00104,Université Laval,0
00105,Renmin University Of China,0
00106,Tongji University,0
00107,Fundacion Universitaria Del Area Andina,0
00108,Universidad De Ciencias Aplicadas Y Ambientales,0
00109,Universidad De Santander-Udes,0
00110,Aarhus University,0
00111,Universidad Casa Grande,0
00112,Cairo University,0
00113,Addis Ababa University,0
00114,"Aalto University, Finland",0
00115,Novia University Of Applied Sciences,0
00116,Kedge Business School,0
00117,L École De Design Nantes Atlantique,0
00118,Ecole Des Métiers De LEnvironnement,0
00119,Ecole Des Mines De Nantes,0
00120,Ecole Nationale Supérieure De Mécanique Et D Aérotechnique,0
00121,Ecole Nationale Supérieure Des Mines De Saint-Etienne,0
00122,Ecole Nationale Vétérinaire De Toulouse,0
00123,Ecole Supérieur Des Sciences Commerciales DAngers,0
00124,Escem Tours-Poitiers,0
00125,Escp Europe,0
00126,Esg Management School,0
00127,Essec Business School,0
00128,Kedge Business School,0
00129,Grenoble Ecole De Management,0
00130,Groupe Esc Pau,0
00131,Nexus-Carbon For Development,0
00132,"Eno Programme Association / Eno-Verkkokoulun Tuki , Finland,",0
00133,Eno Programme Association Finland,0
00134,Algeria,0
00135,Copernicus Alliance,0
00136,Toulouse Business School,0
00137,Groupe Sup De Co La Rochelle,0
00138,Hautes Etudes DIngénieurs Hei,0
00139,Icn Business School Nancy- Metz,0
00140,Institut Des Sciences Et Industries Du Vivant Et De LEnvironnement,0
00141,Institut Polytechnique Lasalle Beauvais,0
00142,Jean Moulin Lyon 3 University,0
00143,Mines Paristech,0
00144,Lafarge,0
00145,Polytech Montpellier,0
00146,Pres Université De Toulouse,0
00147,Reims Management School,0
00148,Skema Business School,0
00149,Télécom Bretagne,0
00150,Université DAix Marseille,0
00151,Université De Bourgogne,0
00152,Université Des Antilles Et De La Guyane,0
00153,University Of Versailles Saint Quentin En Yvelines,0
00154,University For Development Studies,0
00155,Fachhochschule Des Mittelstands,0
00156,Nuertingen-Geislingen University-Ngu,0
00157,Pforzheim University,0
00158,University Of Education Ph Schwaebisch Gmuend-Ph Sg,0
00159,Universidad Rafael Landìvar-Url,0
00160,Birla Institute Of Management Technology,0
00161,Narsee Monjee Institute Of Management Studies,0
00162,Teri University-Tu,0
00163,University Of Limerick,0
00164,Altis-Università Cattolica Del Sacro Cuore,0
00165,Mib School Of Management,0
00166,Politecnico Di Bari,0
00167,Università Ca Foscari Venezia,0
00168,Università Degli Studi Di Ferrara,0
00169,Università Della Calabria,0
00170,University Of Enna Kore,0
00171,University Of Salento,0
00172,International Chamber Of Commerce,0
00174,Okayama University,0
00175,Al Farabi Kazakh National University,0
00176,University Of Nairobi,0
00177,Issykkul State University,0
00178,Osh State University,0
00179,Riga International School Of Economics And Business Administration,0
00180,Notre Dame University - Louaize,0
00181,Smk University Of Applied Social Sciences (Smk),0
00182,"Universidad Iberoamericana, A.C.",0
00183,Climate Leaders India Network,0
00184,Unitec Institute Of Technology,0
00185,Ebonyi State University,0
00186,Rivers State University Of Science And Technology,0
00187,University Of Lagos,0
00188,University Of Oslo,0
00189,Mapua Institute Of Technology,0
00190,Catholic University Of Portugal (Porto),0
00191,Instituto Superior De Engenharia De Lisboa,0
00192,University Of Bucharest,0
00193,Irkutsk State University,0
00194,International Management Institute Of St. Petersburg,0
00195,Russian State University Of Trade And Economics,0
00196,Saintate University Of Management,0
00197,Ural State University Of Economics,0
00198,Higher School Of Professional Business Studies,0
00199,University Of Ljubljana,0
00200,Iedc-Bled School Of Management,0
00201,University Of Pretoria,0
00202,University Of Cape Town,0
00203,Ramon Llull University,0
00204,International Association Of Public Transport,0
00205,University Of Madrid,0
00206,Universitat De València,0
00207,University Of Santiago De Compostela,0
00208,Gotland University,0
00209,University Of Gävle,0
00210,Business School Lausanne,0
00211,Educatis University,0
00212,University Of Applied Sciences Htw Chur,0
00213,University Of Lausanne,0
00214,Asian Institute Of Technology,0
00215,Istanbul Bilgi University,0
00216,Ternopil Ivan Puluj National Technical University,0
00217,Anglia Ruskin University,0
00219,Canterbury Christ Church University,0
00220,Iclei - Local Governments For Sustainability,0
00221,Arborem,0
00222,Plymouth University,0
00223,University Of Exeter,0
00224,University Of Gloucestershire,0
00225,Grenada,0
00226,University Of Salford,0
00227,"University Of Wales, Newport-Uwn",0
00228,Bentley University,0
00229,Chatham University,0
00230,Grenada,0
00231,Nauru,0
00232,George Mason University,0
00233,Barbados,0
00234,International Federation Of Organic Agriculture Movements,0
00235,Antigua And Barbuda,0
00236,Cape Verde,0
00237,Cook Islands,0
00238,Dominica,0
00239,Dominican Republic,0
00240,Fiji,0
00241,Guyana,0
00242,Maldives,0
00243,Marshall Islands,0
00244,Mauritius,0
00245,Palau,0
00246,Saint Lucia,0
00247,Saint Vincent And The Grenadines,0
00248,Samoa,0
00249,Seychelles,0
00250,Solomon Islands,0
00251,Timor-Leste,0
00252,Tonga,0
00253,Tuvalu,0
00254,Macalester College,0
00255,Onondaga Community College,0
00256,Seattle University,0
00257,Saintate University Of New York,0
00258,Saintate University Of New York At Fredonia,0
00259,Saintate University Of New York College At Geneseo,0
00260,Saintate University Of New York Empire State College,0
00261,Saintate University Of New York At Delhi,0
00262,The State University Of New York College Of Environmental Science And Forestry,0
00263,"University At Buffalo, The State University Of New York",0
00264,International Road Assessment Programme,0
00266,World Resources Institute,0
00267,United Nations Department Of Economic And Social Affairs,0
00268,Université Jean Monnet,0
00269,Naruto University Of Education,0
00270,The University Of Waikato,0
00271,Sustainability Management School,0
00272,Université Blaise Pascal,0
00273,Efrei,0
00274,Université Lille 1 - Sciences Et Technologies,0
00275,Simon Fraser University,0
00276,Alfred State College,0
00277,Clarkson University,0
00278,Université Catholique De Louvain,0
