TITLES,REGISTRATION,GOALS,DESCRIPTION,PARTNERS,COUNTRIES,SDG 14 TARGETS COVERED,OCEAN BASINS,BENEFICIARY COUNTRIES,OTHER BENEFICIARIES,,,,,,,,,,,,,,,,,,,,,,,,,,,
Future Skills: a program for mainstreaming coding &amp; soft digital skills into Primary and secondary Level education across Europe and Africa - United Nations Partnerships for SDGs platform,Registered: 17 January 2020,['Goal 8'],"
Description/achievement of initiative

<p>Today, coding skills are key in many industries and sectors. ThinkYoung has designed several accessible courses to equip the next generation with up-to-date coding skills.</p>
<p>The Coding Summer School aims at building youth&rsquo;s interest in coding and STEM skills while developing their 21st-century&nbsp;skills. The commitment is in collaboration with Boeing, aiming at bringing more young women into STEM by ensuring 70% female participation rate of the program. The program will include workshops, guest lectures&nbsp;and practical activities to stimulate the youth&rsquo;s interests in STEM. The Coding Schools will be run by Boeing in Belgium, Netherlands and Kenya.&nbsp;</p>
 

 


Implementation methodologies



<p>The goal of this initiative is to foster youth&rsquo;s interest in STEM skills and to kick-start STEM education for young people with a focus on the gender gap.</p>
<p>This programme is free for participants and it aims at having 70% female participants. 20% of the participants are expected to enrol in STEM education in universities. The impact will be measured against the European Average, which means 9.8% of students will choose STEM at a higher education level.</p>
<p>ThinkYoung will host a 5-day 21st-century&nbsp;skills summer school. During the 5-day training, practitioners will train the students on coding and the use of different technologies for gaining basic coding skills. The students will test, learn and challenge themselves to code and create programs for getting practical experience in 21st-century&nbsp;skills, such as critical thinking, collaboration, creativity, and communication.</p>



Arrangements for Capacity-Building and Technology Transfer 


Coordination mechanisms/governance structure


Partner(s)


ThinkYoung

",['ThinkYoung'],"['Kenya', 'Belgium', 'Netherlands']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Ocean Conference  | Restoration of mangrove ecosystem in Tanzania for enhancement of local communities,Registered: 15 January 2020,"['goal 1""', 'goal 6""', 'goal 13', 'goal 15']","

Tanzania Forest Services Agency (TFS) is a semi-autonomous government Executive Agency mandated to sustainably undertake conservation, development and utilization of national forest and bee resources so that they contribute to the social, economic, ecological and cultural needs of present and future generations. Mangrove Forest Reserve in Tanzania is among Tanzania forests that are owned and managed by TFS. TFS collaborates with various stakeholders from in and outside the country including the communities in conservation and management of mangroves. The objective of this commitment is to enhance 158,000 hectares of mangrove forest and coral reefs in Tanzania through rehabilitation, restoration and protection and practising wise use of mangrove resources, share scientific knowledge and technology, research capacity development and transfer of marine technology by the year 2024. This will be done by conducting resource assessment in about 158,000ha of mangrove reserve, reviewing and prepare Mangrove Management Plans in 10 mangrove Blocks,  organizing restoration programs, conduct conservation education and campaigns and sensitization meetings through different media, prepare teaching material and distrusted to communities, and to school children.  Furthermore, Tourism potentials will be identified, developed and promoted so as the community be well engaged and conserve mangrove and realize the benefit from it.  For monitoring, TFS will continue to undertake its routine patrols and monitor the progress of field activities by involving relevant stakeholders and communities. Adjacent villages will be facilitated to form Village Environmental Committee by considering gender and they will act as watchdogs in their areas.  Day to day supervision of the activities will be done by Mangrove Managers that are situated in 3 TFS Mangrove. Coordination at the national level will be done by Mangrove Coordinator at TFS Headquarters.   TFS will continue to collaborate with all stakeholders to safeguard mangroves.  Quarterly, semiannual and annual report will be submitted to The Chief Executive TFS and Development partners as will be required. 

",['Tanzania Forest Services Agency- Government'],,"['14.2 \n\n\n\n\nBy 2020, sustainably manage and protect marine and coastal ecosystems to avoid significant adverse impacts, including by strengthening their resilience, and take action for their restoration in order to achieve healthy and productive oceans \n\n\n\nType of commitment\n\nIntegrated Coastal Management\nOther (please specify): The coastal area of Tanzania there are several sectors involved but their activities are fragmented. The integrated action plan will be developed and implemented by involving all actors', '14.3 \n\n\n\n\nMinimize and address the impacts of ocean acidification, including through enhanced scientific cooperation at all levels \n\n\n\nType of commitment\n\nCoastal carbon sinks/blue carbon\nCO2 emission reductions (energy efficiency, renewable energy, etc.)', '14.a\n\n\n\n\nIncrease scientific knowledge, develop research capacity and transfer marine technology, taking into account the Intergovernmental Oceanographic Commission Criteria and Guidelines on the Transfer of Marine Technology, in order to improve ocean health and to enhance the contribution of marine biodiversity to the development of developing countries, in particular small island developing States and least developed countries \n\n\n\nType of commitment\n\nScientific, socioeconomic and interdisciplinary research\nResearch capacity development\nTraining and professional development\nScientific cooperation\nTransfer marine technology', '14.c \n\n\n\n\nEnhance the conservation and sustainable use of oceans and their resources by implementing international law as reflected in UNCLOS, which provides the legal framework for the conservation and sustainable use of oceans and their resources, as recalled in paragraph 158 of The Future We Want \n \n\n\n\nType of commitment\n\nActivities to raise awareness of the comprehensive legal and policy framework for the sustainable development of oceans and seas, in particular UNCLOS, its Implementing Agreements and other relevant ocean-related instruments and promote their effective im\nRatification, accession and acceptance of UNCLOS, its Implementing Agreements and other relevant ocean-related instruments\nActivities to develop the capacity of States towards broader participation in and effective implementation of UNCLOS and its implementing Agreements\nStrengthening ocean governance, for example through the development of a national ocean policy or regional ocean policy \nDevelopment of necessary infrastructure and/or enforcement capabilities to comply with international law, as reflected in UNCLOS and as complemented by other ocean-related instruments']",['Indian Ocean'],[],"['Tanzania Island, Local Government Authorities, Communities']",,,,,,,,,,,,,,,,,,,,,,,,,,,
Future Rangers Program - United Nations Partnerships for SDGs platform,Registered: 15 January 2020,"['Goal 4', '\n\n\nGoal 5', '\n\n\nGoal 8', '\n\n\nGoal 10', '\n\n\nGoal 12', '\n\n\nGoal 13', '\n\n\nGoal 15']","
Description/achievement of initiative

The Future Rangers Program is addressing a problem expressed by anti poaching rangers; lack of youth connection to wildlife. With this program being piloted in one of the highest poaching areas in the world, we aim to address the poaching crisis by helping to provide opportunities for passion, leadership training, and employment in local youth communities bordering the protected areas, as lack of employment opportunities is one of the main drivers for poaching. With leadership and skills training, the idea is to have graduates placed into jobs in the local wildlife economy.
 

 


Implementation methodologies



As a 501(c)3 nonprofit registered in the USA, we procure international donor and sponsorship-based funding which is used for local-level employment of a trained environmental educator. This educator is partnered with a school bordering a high priority conservation area, usually close to or within their community, and they work closely with the students over years to teach conservation education, mentor, and deliver leadership training. We work with local partners in the wildlife economy to pair exemplary students with job trainings, internships, and possible employment upon graduation. We track trainings, attitude and behaviour change with the students through the use of the Future Rangers app, which the educators use on a daily basis on the smart phones GCC provides as part of employment. Currently, the monitoring and evaluation, as well as a global scaling framework project is being carried out thanks to support from the National Geographic Society. To expand on a large scale, Future Rangers will be partnering with lodges for local employment funding and existing environmental education programs to target areas of conservation priority, providing passionate, local employees long-term, and providing opportunity within communities that are traditionally marginalized. We�re in the early stages of designing the program, and are moving into the secondary school phase in 2020, with much interest and collaboration from partners. We�re designing the program to be flexible and formative, so that it can be scaled quickly to others areas of conservation priority.



Arrangements for Capacity-Building and Technology Transfer 


We are currently building partnerships for technology sponsorship for our on-the-ground staff, which will enable us to closely track the program through our education app, which has already been developed and will be implemented within the month. We are also building partnerships in regards to leadership training, hard and soft skills training and capacity-building for our staff on the ground, which will be passed along to the students in our program. We are building an endowment fund for scholarships for outstanding students in our program.



Coordination mechanisms/governance structure


This initiative is in it's early stages, and is currently governed by the governance branch of the board of the non profit Global Conservation Corps, along with input from the program director and the executive director of the non profit. This initiative complies with the South African Education Standards, and currently reports progress to the National Geographic Society as the main funder. As we expand and develop our partnerships, governance structure will change to accommodate this growth. Coordination is currently basic as the program is small, but through partnerships, networks, and scaling this program is expected to grow quickly, and governance mechanisms will adjust accordingly.


Partner(s)


Global Conservation Corps, IUCN CEC, #NatureForAll, Africa Foundation, Southern African Wildlife College

","['Global Conservation Corps', ' IUCN CEC', ' #NatureForAll', ' Africa Foundation', ' Southern African Wildlife College']",[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Million Moringa Project: Moringa as a Viable Solution against Poverty, Malnutrition and Deforestation - United Nations Partnerships for SDGs platform",Registered: 13 January 2020,"['Goal 1', '\n\n\nGoal 2', '\n\n\nGoal 15', '\n\n\nGoal 17']","
Description/achievement of initiative

The overall objective of the project is to align MORINATION AGRICULTURAL PRODUCTS in supporting national reforestation, community entrepreneurial spirit, and nutrition efforts. Our primary objectives are

�	To develop, maintain and protect Philippine forests through reforestation

�	To plant 1 million Moringa Trees in each region in the Philippines

�	Inclusive Business to support the involved communities

�	To generate USD 10 Million in revenues for the communities in 5 years

�	To distribute 1 million Ready to Eat Therapeutic Food
 

 


Implementation methodologies



In order to achieve these objectives the project will have the following activities/ Implementing methodologies:

�	Enter into Fair Trade Agreements, Contract Growing, Marketing, and Purchase Agreements with the People�s Associations in these areas  within a fixed timeframe;
�	Establish a Nursery and Post Harvest Storage and Facility near the Assigned areas
�	Provide 1 million moringa cuttings and seeds to identified beneficiaries and People�s Associations
�	Plant 1 million moringa trees in each region in the Philippines
�	Develop, Maintain and Protect the areas assigned 
�	Prepare training materials for introducing best practices in moringa agro-forestry, harvesting, and marketing
�	Design mechanisms to ensure �quality� of the moringa trees & products, and �linkages� (an integrated system, complementary and mutually reinforcing) with all multi-stakeholders like the OECD, DSWD, PENRO, DENR, LGU, DA, DTI, DOST, DOH, clients, and growers
�	Provide technical support for strengthening capacity-building
�	Research on the Contribution of Moringa Ready to Eat Therapeutic Food in national nutrition and emergency relief efforts
�	Distribute 1 million units of Moringa Ready to Eat Therapeutic Food through the DSWD through the Morination Moringa Fund
�	Particular attention will be paid to ensure the active involvement and participation of all these stakeholders in the process of designing and implementing these activities. 
�	The lead organization will assist the line agencies in the overall coordination of the project activities, provide logistic support, establish a time-frame, manage project funds, prepare training materials, and disseminate information.



Arrangements for Capacity-Building and Technology Transfer 


Documenting and replicating best fit in the field/ on the ground through these efforts:

-       focusing on empowering and strengthening the endogenous capabilities of rural communities. Our goal is to make the most of local resources � people, skills, technologies, institutions � and builds on these. Our Capacity building efforts shall be focused on these key success areas:

-       Favoring sustainable change and development

-        Taking an inclusive approach in addressing issues of rural development, reforestation, and nutrition in the Philippines

-        Emphasizing deep, lasting transformations through policy and institutional reforms



Coordination mechanisms/governance structure


Implementing/ Lead Organization:	Morination Agricultural Products

In close coordination and collaboration with the following organizations through a multi-stakeholder involvement to fight malnutrition, poverty, and deforestation. The multi-sectoral Parties are the UN	OECD, UN Global Compact Philippine Network in the Philippines, various line agencies in the Philippines: PENRO- Pangasinan, DENR, DSWD, DOH, DA, LGU, DOST, Board of Investments; People's associations in the Agroforestry/ rural communities in each of the 15 regions in the Philippines.

The main sectors involvement:	Agro-Food Business, Forestry, Health and Nutrition 
Sub-sectors:	Environment- Reforestation/ National Greening Program; Inclusive growth; Enterprise & Community mobilization and development; Fair Trade and Empowerment;  

Estimated start date:	01/31/2020
Estimated end date:	12/31/2030


Partner(s)


Morination Agricultural Products, Philippine line agencies, rural communities

","['Morination Agricultural Products', ' Philippine line agencies', ' rural communities']",[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Non-Governmental Organisation - United Nations Partnerships for SDGs platform,Registered: 12 January 2020,"['Goal 1', '\n\n\nGoal 2', '\n\n\nGoal 3', '\n\n\nGoal 4', '\n\n\nGoal 5', '\n\n\nGoal 6', '\n\n\nGoal 7', '\n\n\nGoal 8', '\n\n\nGoal 9', '\n\n\nGoal 10', '\n\n\nGoal 11', '\n\n\nGoal 12', '\n\n\nGoal 13', '\n\n\nGoal 14', '\n\n\nGoal 15', '\n\n\nGoal 16', '\n\n\nGoal 17']","
Description/achievement of initiative

To be a leading regional non-governmental organization, empowering our Youths to live maximally in all aspect of life through advocacy, capacity development initiatives, community mobilization and socio-economic developments.
 

 


Implementation methodologies



1. Direct implementation
2. Partnership with other UN, INGOs, NGOs and CSOs
3. Partnership with the Government and other stakeholders



Arrangements for Capacity-Building and Technology Transfer 


1. Empowering the indigenous youth to take full charge and get the best out of life
2. Helping the Nigerian youth to attain their full capacity by mentoring and training them on leadership skills
3. Training youths, women and girls on small scale business, sustainable development measures and entrepreneur development



Coordination mechanisms/governance structure


Ibrahim Liadi Youths Foundation  (ILYF), is governed by the Executive Director with various project and programmes officers of all activities carried out. At ILYF, we carry out the following coordination mechanisms;

1. Direct Supervision of staff by their programme heads
2. Standardization of work process and content of staff
3. Coordination of effective information sharing and clarification of expected result
4. Standardization of skills and capacity building among staff and persons of concern
5. Coordination with other partners to enhance effective project  implementation


Partner(s)


Ministry of Poverty Alleviation, Ministry of Youth and Sports, Ministry of Women Affairs

","['Ministry of Poverty Alleviation', ' Ministry of Youth and Sports', ' Ministry of Women Affairs']",[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ScholarX and Student Ambassador Program - United Nations Partnerships for SDGs platform,Registered: 10 January 2020,['Goal 4'],"
Description/achievement of initiative

The Sustainable Education Foundation (SEF) is a volunteer driven not for profit organisation founded with the short term goal of making the Sri Lankan education system the most effective and most dynamic education system in the world with the help of a specialist global network of local and expat Sri Lakans. SEF�s long term goal is to disrupt and democratise the global education system where it is available for everyone, in doing so, the foundation contributes to the United Nations� sustainable development goal of �Quality Education�
 

 


Implementation methodologies



ScholarX is an exclusive 3-month program aimed at providing mentoring support to a selected pool of high potential undergraduate students based in Sri Lanka ideally by a Sri Lankan expat. ScholarX became our free premium mentoring program by Sri Lankans for Sri Lankans working towards creating a culture of knowledge and expertise sharing without the limitation of geographical borders. Just like the OneLive program our mentors were from Fortune500 companies and top Universities. We have paired over 200+ students and mentors with more than 2500+ mentoring hours logged in.

Student Ambassadors program form are our student representation within the Universities in Sri Lanka. They act as our liaison, organising events to promote our programs with their fellow student communities. Our Student Ambassadors are then trained by a diverse group of industry experts over a 5 month free personal development program to equip them with high demand skills required by employers making them future ready by graduation, including time management, adaptability, collaboration and business communication. We have had 50+ student ambassadors in the past and in the 2019 cohort we have 20+ student ambassadors from majority of the Universities all around the country.



Arrangements for Capacity-Building and Technology Transfer 


Coordination mechanisms/governance structure


The program is overseen by the Executive Committee for the Sustainable Education Foundation and managed by the respective Program Owners of the ScholarX and Student Ambassador Programs. Both programs are run on zero budget and relies on the generosity of our volunteer network. Weekly formal meetings are held to assess progress of the program against set targets at the start of the program. Participants and Subject Matter Experts who volunteer as Mentors and  Module Speakers are both provided opportunities to submit their feedback to identify what aspects of the program are most beneficial for the participants and also identify how we can improve the future delivery of the program. We publish the findings via blog posts and other social media networks to ensure transparency and also for knowledge sharing purposes for other  grass roots organisations with similar interests.


Partner(s)


Universities in Sri Lanka, expat Sri Lankan professionals in STEM industry, local grassroots volunteer organisations focused on promoting STEM education and careers.

","['Universities in Sri Lanka', ' expat Sri Lankan professionals in STEM industry', ' local grassroots volunteer organisations focused on promoting STEM education and careers.']",[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#forEducational - United Nations Partnerships for SDGs platform,Registered: 9 January 2020,"['Goal 4', '\n\n\nGoal 11', '\n\n\nGoal 16']","
Description/achievement of initiative

Our organization is primarily concerned with education and above all with the protection of rights such as work, family and many other things. At a later stage the workshops, which improve knowledge and expand their knowledge. Workshops aimed at promoting an educational culture of peace and solidarity between peoples. As a second project, with our Training department: the creator study with YouTube to train audiences in the education of audio and visual professionalism, communication, theater and entertainment.
 

 


Implementation methodologies



Implementation methodology with YouTube with the #changetheworld system to bring together all the YouTubers or the creators of the social or multimedia platforms. In addition, three or four events with the YouTube partner to sponsor the project, in turn the creators and influencers collaborators.

Mainly, an event will be held with all these guests mentioned above, the institutions of the European Commission or the ministries concerned of the Italian state.

The main event will be illustrative and informative for subsequent events to raise funds for settling projects and events or meetings for schools.



Arrangements for Capacity-Building and Technology Transfer 


Coordination mechanisms/governance structure


The project is coordinated by our three departments: volunteering for publicity in the squares, education: education program in schools or institutional events, last, training with our partner Google.

Coordination is administered by our administration secretariat, below, with future partners or collaborators an institutional event for the entire project design in the Italian state and others of the European community.

The coordinator will be the councilor of the organization, with him who proposed the sustainable goals of the united nations.

The contact person of the #forEducational project will be the UNIDEA organization, the collaborating partners will be the promoters, sponsors or third parties for the most targeted workshops.


Partner(s)


Google, Red Bull, Coca Cola, DJI, RED Dragon, RED�, Black Magic, Intesa Sanpaolo

","['Google', ' Red Bull', ' Coca Cola', ' DJI', ' RED Dragon', ' RED�', ' Black Magic', ' Intesa Sanpaolo']",[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Universal Green Energy Access Program Fund (UGEAP) - United Nations Partnerships for SDGs platform,Registered: 8 January 2020,"['Goal 7', '\n\n\nGoal 13']","
Description/achievement of initiative

The Fund seeks to provide significant environmental and social benefits for the rural and urban population of SSA by investing in decentralized renewable energy projects thereby providing compelling risk-adjusted returns to its investors and contributing to climate change mitigation and creating socio-economic benefits to local populations, by allowing them to replace dirty and inefficient fuel sources. One of the first public-private investment proposals with the GCF.
 

 


Implementation methodologies



The Fund can offer a wide scope of financing instruments including senior debt, mezzanine, guarantees and risk sharing instruments. The fund does not make equity investments. Investments can be direct investments in companies or projects, or indirect investments through local financial institutions.



Arrangements for Capacity-Building and Technology Transfer 


Coordination mechanisms/governance structure


The Fund is anchored by the UN�s Green Climate Fund (GCF) which has committed an initial USD 80 million in first loss capital (junior capital). Senior capital is protected by subordination of junior capital (50% at first closing, reducing to 1/3 as the Fund grows and granularity increases); UGEAP is managed by DWS�s Sustainable Investment team, which has a long track record in structuring and managing public-private partnership funds, leveraging the team�s 20 year history of lending into frontier markets.


Partner(s)


DWS International GmbH, Green Climate Fund

","['DWS International GmbH', ' Green Climate Fund']",[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Projet d�Appui aux Initiatives Locales � Att�nuation et Adaptation aux changements climatiques � - United Nations Partnerships for SDGs platform,Registered: 8 January 2020,"['Goal 1', '\n\n\nGoal 2', '\n\n\nGoal 5', '\n\n\nGoal 8', '\n\n\nGoal 10', '\n\n\nGoal 17']","
Description/achievement of initiative

Contribuer au d�veloppement socio �conomique des populations cibles � travers des renforcements des capacit�s organisationnelles, techniques, mat�rielles et financi�res.
 

 


Implementation methodologies



Des rencontres d'informations avec les parties prenantes au Projet  sont organis�es avant le d�marrage du projet, cela permet un rappel sur les objectifs par rapport � la demande initiale des b�n�ficiaires;
Des sessions de formation sur la dynamique organisationnelle, sur les th�mes techniques et relativement � l'initiative de chaque organisations.
Des subventions sont allou�es aux cibles et en fonction  des co�ts de l'initiative de chaque organisation.
Des missions d'accompagnement et de suivi �valuation sont coordonn�es par le Secr�taire Ex�cutif.
Des r�unions p�riodiques sont faites dans le cadre du projet pour un partage sur l'�volution des activit�s et des acquis de la p�riode donn�e.



Arrangements for Capacity-Building and Technology Transfer 


Le Secr�taire Ex�cutif et le Pr�sident en Collaboration avec les Services techniques, planifient et organisent des sessions de formation pour une bonne ma�trise des activit�s et pour la capitalisation des bonnes pratiques.

Un consultant -Sp�cialiste dans chaque domaine est recrut� pour animer la ou les sessions le concernant.

Des �valuations rapides organisationnelles sont faites pour �valuer le niveau de chaque organisation et permettre de r�ajuster s'il y a des �carts n�gatifs constat�s.



Coordination mechanisms/governance structure


La structure porteuse du projet, a, dans son fonctionnement les instances suivantes:

1. Assembl�e g�n�rale qui valide les plans d'actions annuelles et par ricochet les projets � mettre en oeuvre dans ce plan;
2. Bureau ex�cutif, charg� de la mise en oeuvre des projets.

Les parties prenantes:

a. Les Administrations, tant au niveau du d�partement qu'au niveau de l'arrondissement sont inform�es sur le projet et donnent leur avis et  orientations par rapports aux zones vuln�rables et ou d�favoris�es. Elles sont impliqu�es dans la mise en oeuvre du projet et � l'�valuation;
b. Les Collectivit�s territoriales, les maires sont inform�s sur toutes les phases de la mise en oeuvre du Projet et donnent leurs avis et recommandations;
c. Les Services techniques comp�tents dans les activit�s du Projet, sont impliqu�s durant les sessions de formation et de renforcements des capacit�s organisationnelles et techniques;
d. Les b�n�ficiaires sont responsabilis�s par rapport � leur engagement dans le projet.

Le bureau ex�cutif se r�uni mensuellement pour �valuer toutes les activit�s entreprises et fait des missions d'accompagnement, de suivi et �valuation .

Le bureau rend compte � l'assembl�e g�n�rale sur le bilan des activit�s.


Partner(s)


G.I.E. "" Kawral Soukab� Migrants Pakour"",  Entente Amicale des Rapatri�s du D�partement de V�lingara (ARDV) et Association Rewb� Fuladu ( MAREF) de V�lingara,  G.I.E.des Rapatri�s de N�mataba.

","['G.I.E. "" Kawral Soukab� Migrants Pakour""', '  Entente Amicale des Rapatri�s du D�partement de V�lingara (ARDV) et Association Rewb� Fuladu ( MAREF) de V�lingara', '  G.I.E.des Rapatri�s de N�mataba.']",[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sustainability Management Professional for SDGs - United Nations Partnerships for SDGs platform,Registered: 4 January 2020,"['Goal 4', '\n\n\nGoal 8', '\n\n\nGoal 12', '\n\n\nGoal 14']","
Description/achievement of initiative

This initiative is to provide profession training for around 1,600 business people in the next three years to help them acquire the professional knowledge and skills for measuring, analyzing, evaluating, reporting and managing sustainable development performance, and also carry out a certification as Sustainability Management Professional (SMP) to develop a platform and networking for these professionals to exchange practice in implementing Sustainable Development Goals in their organizations. This initiative will also carry out Train the Trainers and Project on Education for Sustainable Development to help lectures and young students understanding Sustainable Development Goals and basic knowledge in sustainability management.
 

 


Implementation methodologies



The MGC-BAESD has been conducting Project on Education for Sustainable Development in China since 2015. Over the past four years, we have trained more than 5,000 students and teachers who are from Primary and Middle schools. In 2019, the Sustainability Management Professional program focusing on business executives was launched. This initiative is carried out as following:

1. Sustainable Development Round table - A case studies and platforms of idea exchange for sustainable development professionals who are from governments, universities, non-profit organizations and business. Since 2019, we have attracted and gathered more than 200 professionals as key members to join our Sustainable Development Round table. Through their influence, more professionals will join the Round table and promote the knowledge of sustainable development management to create long-term value in their organizations to contribute to the sustainable development goals.

2. Train the trainers. People are trained to become qualified trainers to teach Sustainability Management Professional (SMP) program and project on Education for Sustainable Development.

3. Evaluate and authorize qualified institutions as training partners to jointly conduct training services for Sustainability Management Professional (SMP) program and project on Education for Sustainable Development.

4. We have established 4 training bases in Beijing, Qingdao, Shenzhen and Baotou to carry out our sustainable development project, which can ensure the implementation of this initiative.



Arrangements for Capacity-Building and Technology Transfer 


The Sustainability Management Professional (SMP) program includes two courses: �Sustainable Development Planning, Performance and Reporting�, and �Sustainable Development Governance and Decision-making�. It requires participants to complete at least 80 hours� studies with these two courses and pass the exam (70% of the exam scores are qualified) to obtain Sustainability Management Professional (SMP) certificate. Sustainability Management Professional must have 30 hours mandatory continuing education every year to ensure that their expertise is up-to-date.

We also have professional textbooks, courses, and test questions for youth people on sustainable development education project. It can ensure that young students understand sustainable development goals and related issues, and build sustainable development learning capabilities.



Coordination mechanisms/governance structure


1. This initiative is governed by the Management & Governance Committee of the Beijing Association of Education for Sustainable Development (MGC-BAESD) which is a non-profit entity registered in Beijing under Chinese Law. There are Council and Divisions in MGC-BAESD. Council with the Committee governs the operation of MGC-BAESD. Divisions are classified into occupational streams to in charge of professional standards setting, curriculum development, examinations, quality supervision, brand promotion, continuing education etc. From Divisional Heads to the Members of Committee and Council, they are professionals with tertiary education. Most of them are experts and professors from UN System such as UNEP, UNDP, UNESCO and universities. Therefore, quality assurance of the institutional performance and program delivery can be assured.

2. The MGC-BAESD will authorize qualified educational institutions to provide training service for Sustainability Management Professional (SMP) program and Project on Education for Sustainable Development for this initiative.

3. The Beijing Institute of International Education for future Development, Redco Group and Baotou Oceanarium in Inner Mongolia will provide necessary funding support for the initiative. 

The above coordination mechanisms ensure to achieve the objectives of this initiative.


Partner(s)


Management & Governance Committee of the Beijing Association of Education for Sustainable Development, Beijing Institute of International Education for future Development, National Working Committee for UNESCO Project on Education for Sustainable Development in China, UNESCO (NGOs) CISV China, Chinese Alliance of Science Popularization, Baotou Oceanarium in Inner Mongolia, Redco Group

","['Management & Governance Committee of the Beijing Association of Education for Sustainable Development', ' Beijing Institute of International Education for future Development', ' National Working Committee for UNESCO Project on Education for Sustainable Development in China', ' UNESCO (NGOs) CISV China', ' Chinese Alliance of Science Popularization', ' Baotou Oceanarium in Inner Mongolia', ' Redco Group']",[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
