"title","length","rental_rate","replacement_cost","roi","roi_rounded","rental_value"
"Chamber Italian",117,"4.99","14.99","3.0040080160320641","4","23.4468937875751503"
"Grosse Wonderful",49,"4.99","19.99","4.0060120240480962","5","9.8196392785571142"
"Airport Pollock",54,"4.99","15.99","3.2044088176352705","4","10.8216432865731463"
"Bright Encounters",73,"4.99","12.99","2.6032064128256513","3","14.6292585170340681"
"Academy Dinosaur",86,"0.99","20.99","21.2020202020202020","22","86.8686868686868687"
"Ace Goldfinger",48,"4.99","12.99","2.6032064128256513","3","9.6192384769539078"
"Adaptation Holes",50,"2.99","18.99","6.3511705685618729","7","16.7224080267558528"
"Affair Prejudice",117,"2.99","26.99","9.0267558528428094","10","39.1304347826086957"
"African Egg",130,"2.99","22.99","7.6889632107023411","8","43.4782608695652174"
"Agent Truman",169,"2.99","17.99","6.0167224080267559","7","56.5217391304347826"
"Airplane Sierra",62,"4.99","28.99","5.8096192384769539","6","12.4248496993987976"
"Alabama Devil",114,"2.99","21.99","7.3545150501672241","8","38.1270903010033445"
"Aladdin Calendar",63,"4.99","24.99","5.0080160320641283","6","12.6252505010020040"
"Alamo Videotape",126,"0.99","16.99","17.1616161616161616","18","127.2727272727272727"
"Alaska Phantom",136,"0.99","22.99","23.2222222222222222","24","137.3737373737373737"
"Date Speed",104,"0.99","19.99","20.1919191919191919","21","105.0505050505050505"
"Ali Forever",150,"4.99","21.99","4.4068136272545090","5","30.0601202404809619"
"Alice Fantasia",94,"0.99","23.99","24.2323232323232323","25","94.9494949494949495"
"Alien Center",46,"2.99","10.99","3.6755852842809365","4","15.3846153846153846"
"Alley Evolution",180,"2.99","23.99","8.0234113712374582","9","60.2006688963210702"
"Alone Trip",82,"0.99","14.99","15.1414141414141414","16","82.8282828282828283"
"Alter Victory",57,"0.99","27.99","28.2727272727272727","29","57.5757575757575758"
"Amadeus Holy",113,"0.99","20.99","21.2020202020202020","22","114.1414141414141414"
"Amelie Hellfighters",79,"4.99","23.99","4.8076152304609218","5","15.8316633266533066"
"American Circus",129,"4.99","17.99","3.6052104208416834","4","25.8517034068136273"
"Amistad Midsummer",85,"2.99","10.99","3.6755852842809365","4","28.4280936454849498"
"Anaconda Confessions",92,"0.99","9.99","10.0909090909090909","11","92.9292929292929293"
"Analyze Hoosiers",181,"2.99","19.99","6.6856187290969900","7","60.5351170568561873"
"Angels Life",74,"2.99","15.99","5.3478260869565217","6","24.7491638795986622"
"Annie Identity",86,"0.99","15.99","16.1515151515151515","17","86.8686868686868687"
"Anonymous Human",179,"0.99","12.99","13.1212121212121212","14","180.8080808080808081"
"Anthem Luke",91,"4.99","16.99","3.4048096192384770","4","18.2364729458917836"
"Antitrust Tomatoes",168,"2.99","11.99","4.0100334448160535","5","56.1872909698996656"
"Anything Savannah",82,"2.99","27.99","9.3612040133779264","10","27.4247491638795987"
"Apache Divine",92,"4.99","16.99","3.4048096192384770","4","18.4368737474949900"
"Apocalypse Flamingos",119,"4.99","11.99","2.4028056112224449","3","23.8476953907815631"
"Apollo Teen",153,"2.99","15.99","5.3478260869565217","6","51.1705685618729097"
"Arabia Dogma",62,"0.99","29.99","30.2929292929292929","31","62.6262626262626263"
"Arachnophobia Rollercoaster",147,"2.99","24.99","8.3578595317725753","9","49.1638795986622074"
"Argonauts Town",127,"0.99","12.99","13.1212121212121212","14","128.2828282828282828"
"Arizona Bang",121,"2.99","28.99","9.6956521739130435","10","40.4682274247491639"
"Ark Ridgemont",68,"0.99","25.99","26.2525252525252525","27","68.6868686868686869"
"Armageddon Lost",99,"0.99","10.99","11.1010101010101010","12","100.0000000000000000"
"Army Flintstones",148,"0.99","22.99","23.2222222222222222","24","149.4949494949494949"
"Arsenic Independence",137,"0.99","17.99","18.1717171717171717","19","138.3838383838383838"
"Artist Coldblooded",170,"2.99","10.99","3.6755852842809365","4","56.8561872909698997"
"Dying Maker",168,"4.99","28.99","5.8096192384769539","6","33.6673346693386774"
"Atlantis Cause",170,"2.99","15.99","5.3478260869565217","6","56.8561872909698997"
"Attacks Hate",113,"4.99","21.99","4.4068136272545090","5","22.6452905811623246"
"Attraction Newton",83,"4.99","14.99","3.0040080160320641","4","16.6332665330661323"
"Autumn Crow",108,"4.99","13.99","2.8036072144288577","3","21.6432865731462926"
"Baby Hall",153,"4.99","23.99","4.8076152304609218","5","30.6613226452905812"
"Backlash Undefeated",118,"4.99","24.99","5.0080160320641283","6","23.6472945891783567"
"Badman Dawn",162,"2.99","22.99","7.6889632107023411","8","54.1806020066889632"
"Baked Cleopatra",182,"2.99","20.99","7.0200668896321070","8","60.8695652173913043"
"Casualties Encino",179,"4.99","16.99","3.4048096192384770","4","35.8717434869739479"
"Balloon Homeward",75,"2.99","10.99","3.6755852842809365","4","25.0836120401337793"
"Ballroom Mockingbird",173,"0.99","29.99","30.2929292929292929","31","174.7474747474747475"
"Bang Kwai",87,"2.99","25.99","8.6923076923076923","9","29.0969899665551839"
"Banger Pinocchio",113,"0.99","15.99","16.1515151515151515","17","114.1414141414141414"
"Barbarella Streetcar",65,"2.99","27.99","9.3612040133779264","10","21.7391304347826087"
"Barefoot Manchurian",129,"2.99","15.99","5.3478260869565217","6","43.1438127090301003"
"Basic Easy",90,"2.99","18.99","6.3511705685618729","7","30.1003344481605351"
"Beach Heartbreakers",122,"2.99","16.99","5.6822742474916388","6","40.8026755852842809"
"Bear Graceland",160,"2.99","20.99","7.0200668896321070","8","53.5117056856187291"
"Beast Hunchback",89,"4.99","22.99","4.6072144288577154","5","17.8356713426853707"
"Beauty Grease",175,"4.99","28.99","5.8096192384769539","6","35.0701402805611222"
"Bed Highball",106,"2.99","23.99","8.0234113712374582","9","35.4515050167224080"
"Bedazzled Married",73,"0.99","21.99","22.2121212121212121","23","73.7373737373737374"
"Beethoven Exorcist",151,"0.99","26.99","27.2626262626262626","28","152.5252525252525253"
"Behavior Runaway",100,"4.99","20.99","4.2064128256513026","5","20.0400801603206413"
"Beneath Rush",53,"0.99","27.99","28.2727272727272727","29","53.5353535353535354"
"Berets Agent",77,"2.99","24.99","8.3578595317725753","9","25.7525083612040134"
"Betrayed Rear",122,"4.99","26.99","5.4088176352705411","6","24.4488977955911824"
"Beverly Outlaw",85,"2.99","21.99","7.3545150501672241","8","28.4280936454849498"
"Bikini Borrowers",142,"4.99","26.99","5.4088176352705411","6","28.4569138276553106"
"Bilko Anonymous",100,"4.99","25.99","5.2084168336673347","6","20.0400801603206413"
"Bill Others",93,"2.99","12.99","4.3444816053511706","5","31.1036789297658863"
"Bingo Talented",150,"2.99","22.99","7.6889632107023411","8","50.1672240802675585"
"Birch Antitrust",162,"4.99","18.99","3.8056112224448898","4","32.4649298597194389"
"Bird Independence",163,"4.99","14.99","3.0040080160320641","4","32.6653306613226453"
"Birdcage Casper",103,"0.99","23.99","24.2323232323232323","25","104.0404040404040404"
"Birds Perdition",61,"4.99","15.99","3.2044088176352705","4","12.2244488977955912"
"Blackout Private",85,"2.99","12.99","4.3444816053511706","5","28.4280936454849498"
"Blade Polish",114,"0.99","10.99","11.1010101010101010","12","115.1515151515151515"
"Blanket Beverly",148,"2.99","21.99","7.3545150501672241","8","49.4983277591973244"
"Blindness Gun",103,"4.99","29.99","6.0100200400801603","7","20.6412825651302605"
"Blood Argonauts",71,"0.99","13.99","14.1313131313131313","15","71.7171717171717172"
"Blues Instinct",50,"2.99","18.99","6.3511705685618729","7","16.7224080267558528"
"Boiled Dares",102,"4.99","13.99","2.8036072144288577","3","20.4408817635270541"
"Bonnie Holocaust",63,"0.99","29.99","30.2929292929292929","31","63.6363636363636364"
"Boogie Amelie",121,"4.99","11.99","2.4028056112224449","3","24.2484969939879760"
"Boondock Ballroom",76,"0.99","14.99","15.1414141414141414","16","76.7676767676767677"
"Born Spinal",179,"4.99","17.99","3.6052104208416834","4","35.8717434869739479"
"Borrowers Bedazzled",63,"0.99","22.99","23.2222222222222222","24","63.6363636363636364"
"Boulevard Mob",63,"0.99","11.99","12.1111111111111111","13","63.6363636363636364"
"Bound Cheaper",98,"0.99","17.99","18.1717171717171717","19","98.9898989898989899"
"Bowfinger Gables",72,"4.99","19.99","4.0060120240480962","5","14.4288577154308617"
"Brannigan Sunrise",121,"4.99","27.99","5.6092184368737475","6","24.2484969939879760"
"Braveheart Human",176,"2.99","14.99","5.0133779264214047","6","58.8628762541806020"
"Breakfast Goldfinger",123,"4.99","18.99","3.8056112224448898","4","24.6492985971943888"
"Breaking Home",169,"2.99","21.99","7.3545150501672241","8","56.5217391304347826"
"Bride Intrigue",56,"0.99","24.99","25.2424242424242424","26","56.5656565656565657"
"Bringing Hysterical",136,"2.99","14.99","5.0133779264214047","6","45.4849498327759197"
"Brooklyn Desert",161,"4.99","21.99","4.4068136272545090","5","32.2645290581162325"
"Brotherhood Blanket",73,"0.99","26.99","27.2626262626262626","28","73.7373737373737374"
"Bubble Grosse",60,"4.99","20.99","4.2064128256513026","5","12.0240480961923848"
"Bucket Brotherhood",133,"4.99","27.99","5.6092184368737475","6","26.6533066132264529"
"Bugsy Song",119,"2.99","17.99","6.0167224080267559","7","39.7993311036789298"
"Bull Shawshank",125,"0.99","21.99","22.2121212121212121","23","126.2626262626262626"
"Bulworth Commandments",61,"2.99","14.99","5.0133779264214047","6","20.4013377926421405"
"Bunch Minds",63,"2.99","13.99","4.6789297658862876","5","21.0702341137123746"
"Butch Panther",67,"0.99","19.99","20.1919191919191919","21","67.6767676767676768"
"Butterfly Chocolat",89,"0.99","17.99","18.1717171717171717","19","89.8989898989898990"
"Cabin Flash",53,"0.99","25.99","26.2525252525252525","27","53.5353535353535354"
"Caddyshack Jedi",52,"0.99","17.99","18.1717171717171717","19","52.5252525252525253"
"Calendar Gunfight",120,"4.99","22.99","4.6072144288577154","5","24.0480961923847695"
"California Birds",75,"4.99","19.99","4.0060120240480962","5","15.0300601202404810"
"Camelot Vacation",61,"0.99","26.99","27.2626262626262626","28","61.6161616161616162"
"Campus Remember",167,"2.99","27.99","9.3612040133779264","10","55.8528428093645485"
"Candidate Perdition",70,"2.99","10.99","3.6755852842809365","4","23.4113712374581940"
"Candles Grapes",135,"4.99","15.99","3.2044088176352705","4","27.0541082164328657"
"Canyon Stock",85,"0.99","26.99","27.2626262626262626","28","85.8585858585858586"
"Caper Motions",176,"0.99","22.99","23.2222222222222222","24","177.7777777777777778"
