"title","rating","length","rental_rate","replacement_cost"
"Floats Garden","PG-13",145,"2.99","29.99"
"Treasure Command","PG-13",102,"0.99","28.99"
"Perdition Fargo","NC-17",99,"4.99","27.99"
"Villain Desperate","PG-13",76,"4.99","27.99"
"Hate Handicap","PG",107,"0.99","26.99"
"Ark Ridgemont","NC-17",68,"0.99","25.99"
"Roof Champion","R",101,"0.99","25.99"
"Chinatown Gladiator","PG",61,"4.99","24.99"
"Alice Fantasia","NC-17",94,"0.99","23.99"
"Crystal Breaking","NC-17",184,"2.99","22.99"
"Dazed Punk","G",120,"4.99","20.99"
"Gladiator Westward","PG",173,"4.99","20.99"
"Butch Panther","PG-13",67,"0.99","19.99"
"Crossing Divorce","R",50,"4.99","19.99"
"Hocus Frida","G",141,"2.99","19.99"
"Sister Freddy","PG-13",152,"4.99","19.99"
"Walls Artist","PG",135,"4.99","19.99"
"Muppet Mile","PG",50,"4.99","18.99"
"Wake Jaws","G",73,"4.99","18.99"
"Arsenic Independence","PG",137,"0.99","17.99"
"Crowds Telemark","R",112,"4.99","16.99"
"Frankenstein Stranger","NC-17",159,"0.99","16.99"
"Apollo Teen","PG-13",153,"2.99","15.99"
"Kill Brotherhood","G",54,"0.99","15.99"
"Sky Miracle","PG",132,"2.99","15.99"
"Boondock Ballroom","NC-17",76,"0.99","14.99"
"Firehouse Vietnam","G",103,"0.99","14.99"
"Rainbow Shock","PG",74,"4.99","14.99"
"Chocolate Duck","R",132,"2.99","13.99"
"Commandments Express","R",59,"4.99","13.99"
"Order Betrayed","PG-13",120,"2.99","13.99"
"Suicides Silence","G",93,"4.99","13.99"
"Tadpole Park","PG",155,"2.99","13.99"
"Argonauts Town","PG-13",127,"0.99","12.99"
"Gump Date","NC-17",53,"4.99","12.99"
"Volume House","PG",132,"4.99","12.99"
"Psycho Shrunk","PG-13",155,"2.99","11.99"
"Raiders Antitrust","PG-13",82,"0.99","11.99"
"Catch Amistad","G",183,"0.99","10.99"
"Kentuckian Giant","PG",169,"2.99","10.99"
"Pearl Destiny","NC-17",74,"2.99","10.99"
"Deliverance Mulholland","R",100,"0.99","9.99"
