"title","rating","replacement_cost","n","inventory_value","inventory_pct"
"Cupboard Sinners","R","29.99","8","239.92","0.25903359695551309600"
"Gilmore Boiled","R","29.99","8","239.92","0.25903359695551309600"
"Loathing Legally","R","29.99","8","239.92","0.25903359695551309600"
"Ridgemont Submarine","PG-13","28.99","8","231.92","0.25039626461288178200"
"Saturday Lambs","G","28.99","8","231.92","0.25039626461288178200"
"Seabiscuit Punk","NC-17","28.99","8","231.92","0.25039626461288178200"
"Storm Happiness","NC-17","28.99","8","231.92","0.25039626461288178200"
"Bucket Brotherhood","PG","27.99","8","223.92","0.24175893227025046900"
"Curtain Videotape","PG-13","27.99","8","223.92","0.24175893227025046900"
"Dinosaur Secretary","R","27.99","8","223.92","0.24175893227025046900"
"Dynamite Tarzan","PG-13","27.99","8","223.92","0.24175893227025046900"
"Hobbit Alien","PG-13","27.99","8","223.92","0.24175893227025046900"
"Mockingbird Hollywood","PG","27.99","8","223.92","0.24175893227025046900"
"Rocketeer Mother","PG-13","27.99","8","223.92","0.24175893227025046900"
"Torque Bound","G","27.99","8","223.92","0.24175893227025046900"
"Wife Turn","NC-17","27.99","8","223.92","0.24175893227025046900"
"Innocent Usual","PG-13","26.99","8","215.92","0.23312159992761915500"
"Earth Vision","NC-17","29.99","7","209.93","0.22665439733607395900"
"Goldfinger Sensibility","G","29.99","7","209.93","0.22665439733607395900"
"Graffiti Love","PG","29.99","7","209.93","0.22665439733607395900"
"Idols Snatchers","NC-17","29.99","7","209.93","0.22665439733607395900"
"Oscar Gold","PG","29.99","7","209.93","0.22665439733607395900"
"Princess Giant","NC-17","29.99","7","209.93","0.22665439733607395900"
"Reign Gentlemen","PG-13","29.99","7","209.93","0.22665439733607395900"
"River Outlaw","PG-13","29.99","7","209.93","0.22665439733607395900"
"Tracy Cider","G","29.99","7","209.93","0.22665439733607395900"
"Dancing Fever","G","25.99","8","207.92","0.22448426758498784100"
"Forward Temple","NC-17","25.99","8","207.92","0.22448426758498784100"
"Gleaming Jawbreaker","NC-17","25.99","8","207.92","0.22448426758498784100"
"Heavyweights Beast","G","25.99","8","207.92","0.22448426758498784100"
"Horror Reign","R","25.99","8","207.92","0.22448426758498784100"
"Arizona Bang","PG","28.99","7","202.93","0.21909673153627155900"
"Double Wrath","R","28.99","7","202.93","0.21909673153627155900"
"Flamingos Connecticut","PG-13","28.99","7","202.93","0.21909673153627155900"
"Head Stranger","R","28.99","7","202.93","0.21909673153627155900"
"Ice Crossing","R","28.99","7","202.93","0.21909673153627155900"
"Lies Treatment","NC-17","28.99","7","202.93","0.21909673153627155900"
"Voyage Legally","PG-13","28.99","7","202.93","0.21909673153627155900"
"Family Sweet","R","24.99","8","199.92","0.21584693524235652800"
"Greatest North","NC-17","24.99","8","199.92","0.21584693524235652800"
"Campus Remember","R","27.99","7","195.93","0.21153906573646916000"
"Disturbing Scarface","R","27.99","7","195.93","0.21153906573646916000"
"Gangs Pride","PG-13","27.99","7","195.93","0.21153906573646916000"
"Snowman Rollercoaster","G","27.99","7","195.93","0.21153906573646916000"
"Story Side","R","27.99","7","195.93","0.21153906573646916000"
"Strangelove Desire","NC-17","27.99","7","195.93","0.21153906573646916000"
"Muscle Bright","G","23.99","8","191.92","0.20720960289972521400"
"Network Peak","PG-13","23.99","8","191.92","0.20720960289972521400"
"Operation Operation","G","23.99","8","191.92","0.20720960289972521400"
"Roses Treasure","PG-13","23.99","8","191.92","0.20720960289972521400"
"Affair Prejudice","G","26.99","7","188.93","0.20398139993666676100"
"Camelot Vacation","NC-17","26.99","7","188.93","0.20398139993666676100"
"Dorado Notting","NC-17","26.99","7","188.93","0.20398139993666676100"
"Hanky October","NC-17","26.99","7","188.93","0.20398139993666676100"
"Maltese Hope","PG-13","26.99","7","188.93","0.20398139993666676100"
"Robbers Joon","PG-13","26.99","7","188.93","0.20398139993666676100"
"Bingo Talented","PG-13","22.99","8","183.92","0.19857227055709390000"
"Goodfellas Salute","PG","22.99","8","183.92","0.19857227055709390000"
"Hustler Party","NC-17","22.99","8","183.92","0.19857227055709390000"
"Married Go","G","22.99","8","183.92","0.19857227055709390000"
"Virginian Pluto","R","22.99","8","183.92","0.19857227055709390000"
"Fireball Philadelphia","PG","25.99","7","181.93","0.19642373413686436100"
"Half Outfield","PG-13","25.99","7","181.93","0.19642373413686436100"
"Mallrats United","PG","25.99","7","181.93","0.19642373413686436100"
"Nightmare Chill","PG","25.99","7","181.93","0.19642373413686436100"
"Pianist Outfield","NC-17","25.99","7","181.93","0.19642373413686436100"
"Range Moonwalker","PG","25.99","7","181.93","0.19642373413686436100"
"Fantasia Park","G","29.99","6","179.94","0.19427519771663482200"
"Feud Frogmen","R","29.99","6","179.94","0.19427519771663482200"
"Flatliners Killer","G","29.99","6","179.94","0.19427519771663482200"
"Hills Neighbors","G","29.99","6","179.94","0.19427519771663482200"
"Honey Ties","R","29.99","6","179.94","0.19427519771663482200"
"Quest Mussolini","R","29.99","6","179.94","0.19427519771663482200"
"Salute Apollo","R","29.99","6","179.94","0.19427519771663482200"
"Slacker Liaisons","R","29.99","6","179.94","0.19427519771663482200"
"Beverly Outlaw","R","21.99","8","175.92","0.18993493821446258700"
"Garden Island","G","21.99","8","175.92","0.18993493821446258700"
"Grit Clockwork","PG","21.99","8","175.92","0.18993493821446258700"
"Aladdin Calendar","NC-17","24.99","7","174.93","0.18886606833706196200"
"Arachnophobia Rollercoaster","PG-13","24.99","7","174.93","0.18886606833706196200"
"Fatal Haunted","PG","24.99","7","174.93","0.18886606833706196200"
"Strictly Scarface","PG-13","24.99","7","174.93","0.18886606833706196200"
"Beauty Grease","G","28.99","6","173.94","0.18779719845966133700"
"Command Darling","PG-13","28.99","6","173.94","0.18779719845966133700"
"Fargo Gandhi","G","28.99","6","173.94","0.18779719845966133700"
"Handicap Boondock","R","28.99","6","173.94","0.18779719845966133700"
"Hunchback Impossible","PG-13","28.99","6","173.94","0.18779719845966133700"
"Lust Lock","G","28.99","6","173.94","0.18779719845966133700"
"Rock Instinct","G","28.99","6","173.94","0.18779719845966133700"
"Roman Punk","NC-17","28.99","6","173.94","0.18779719845966133700"
"Thief Pelican","PG-13","28.99","6","173.94","0.18779719845966133700"
"Alter Victory","PG-13","27.99","6","167.94","0.18131919920268785100"
"Barbarella Streetcar","G","27.99","6","167.94","0.18131919920268785100"
"Crooked Frogmen","PG-13","27.99","6","167.94","0.18131919920268785100"
"Dawn Pond","PG","27.99","6","167.94","0.18131919920268785100"
"Desert Poseidon","R","27.99","6","167.94","0.18131919920268785100"
"Fantasy Troopers","PG-13","27.99","6","167.94","0.18131919920268785100"
"Gun Bonnie","G","27.99","6","167.94","0.18131919920268785100"
"Midsummer Groundhog","G","27.99","6","167.94","0.18131919920268785100"
"Movie Shakespeare","PG","27.99","6","167.94","0.18131919920268785100"
"Pacific Amistad","G","27.99","6","167.94","0.18131919920268785100"
"Room Roman","PG","27.99","6","167.94","0.18131919920268785100"
"Volcano Texas","NC-17","27.99","6","167.94","0.18131919920268785100"
"Enemy Odds","NC-17","23.99","7","167.93","0.18130840253725956200"
"Island Exorcist","NC-17","23.99","7","167.93","0.18130840253725956200"
"Scorpion Apollo","NC-17","23.99","7","167.93","0.18130840253725956200"
"Women Dorado","R","23.99","7","167.93","0.18130840253725956200"
"Academy Dinosaur","PG","20.99","8","167.92","0.18129760587183127300"
"Crossroads Casualties","G","20.99","8","167.92","0.18129760587183127300"
"Moon Bunch","PG","20.99","8","167.92","0.18129760587183127300"
"Rush Goodfellas","PG","20.99","8","167.92","0.18129760587183127300"
"Brotherhood Blanket","R","26.99","6","161.94","0.17484119994571436600"
"Canyon Stock","R","26.99","6","161.94","0.17484119994571436600"
"Dracula Crystal","G","26.99","6","161.94","0.17484119994571436600"
"Empire Malkovich","G","26.99","6","161.94","0.17484119994571436600"
"Indian Love","NC-17","26.99","6","161.94","0.17484119994571436600"
"Metal Armageddon","PG-13","26.99","6","161.94","0.17484119994571436600"
"Shakespeare Saddle","PG-13","26.99","6","161.94","0.17484119994571436600"
"Alaska Phantom","PG","22.99","7","160.93","0.17375073673745716300"
"Calendar Gunfight","NC-17","22.99","7","160.93","0.17375073673745716300"
"Caper Motions","G","22.99","7","160.93","0.17375073673745716300"
"Chance Resurrection","R","22.99","7","160.93","0.17375073673745716300"
"Deceiver Betrayed","NC-17","22.99","7","160.93","0.17375073673745716300"
"Fish Opus","R","22.99","7","160.93","0.17375073673745716300"
"Forrester Comancheros","NC-17","22.99","7","160.93","0.17375073673745716300"
"Malkovich Pet","G","22.99","7","160.93","0.17375073673745716300"
"Minds Truman","PG-13","22.99","7","160.93","0.17375073673745716300"
"Patton Interview","PG","22.99","7","160.93","0.17375073673745716300"
"Shootist Superfly","PG-13","22.99","7","160.93","0.17375073673745716300"
"Suspects Quills","PG","22.99","7","160.93","0.17375073673745716300"
"Trading Pinocchio","PG","22.99","7","160.93","0.17375073673745716300"
"Undefeated Dalmations","PG-13","22.99","7","160.93","0.17375073673745716300"
"Pity Bound","NC-17","19.99","8","159.92","0.17266027352919996000"
"Chainsaw Uptown","PG","25.99","6","155.94","0.16836320068874088100"
"Dalmations Sweden","PG","25.99","6","155.94","0.16836320068874088100"
"Kwai Homeward","PG-13","25.99","6","155.94","0.16836320068874088100"
"League Hellfighters","PG-13","25.99","6","155.94","0.16836320068874088100"
"Moonshine Cabin","PG-13","25.99","6","155.94","0.16836320068874088100"
"Pond Seattle","PG-13","25.99","6","155.94","0.16836320068874088100"
"Requiem Tycoon","R","25.99","6","155.94","0.16836320068874088100"
"Stagecoach Armageddon","R","25.99","6","155.94","0.16836320068874088100"
"Knock Warlock","PG-13","21.99","7","153.93","0.16619307093765476300"
"Orange Grapes","PG-13","21.99","7","153.93","0.16619307093765476300"
"Samurai Lion","G","21.99","7","153.93","0.16619307093765476300"
"Slums Duck","PG","21.99","7","153.93","0.16619307093765476300"
"South Wait","R","21.99","7","153.93","0.16619307093765476300"
"Tomorrow Hustler","R","21.99","7","153.93","0.16619307093765476300"
"Harry Idaho","PG-13","18.99","8","151.92","0.16402294118656864600"
"Lose Inch","R","18.99","8","151.92","0.16402294118656864600"
"Zorro Ark","NC-17","18.99","8","151.92","0.16402294118656864600"
"Chariots Conspiracy","R","29.99","5","149.95","0.16189599809719568500"
