"title","rating","x","sqrt","sigma","z"
"Everyone Craft","PG","29.99","5.6704217342519380",2,"1.9453452233402151"
"Graffiti Love","PG","29.99","5.6704217342519380",2,"1.9453452233402151"
"Hollywood Anonymous","PG","29.99","5.6704217342519380",2,"1.9453452233402151"
"Oscar Gold","PG","29.99","5.6704217342519380",2,"1.9453452233402151"
"Arizona Bang","PG","28.99","5.6704217342519380",2,"1.7689914974860087"
"Dying Maker","PG","28.99","5.6704217342519380",2,"1.7689914974860087"
"Loser Hustler","PG","28.99","5.6704217342519380",2,"1.7689914974860087"
"Monster Spartacus","PG","28.99","5.6704217342519380",2,"1.7689914974860087"
"Rider Caddyshack","PG","28.99","5.6704217342519380",2,"1.7689914974860087"
"Chariots Conspiracy","R","29.99","5.7857791155298621",2,"1.6867174090313732"
"Cupboard Sinners","R","29.99","5.7857791155298621",2,"1.6867174090313732"
"Feud Frogmen","R","29.99","5.7857791155298621",2,"1.6867174090313732"
"Gilmore Boiled","R","29.99","5.7857791155298621",2,"1.6867174090313732"
"Honey Ties","R","29.99","5.7857791155298621",2,"1.6867174090313732"
"Jeepers Wedding","R","29.99","5.7857791155298621",2,"1.6867174090313732"
"Loathing Legally","R","29.99","5.7857791155298621",2,"1.6867174090313732"
"Quest Mussolini","R","29.99","5.7857791155298621",2,"1.6867174090313732"
"Salute Apollo","R","29.99","5.7857791155298621",2,"1.6867174090313732"
"Slacker Liaisons","R","29.99","5.7857791155298621",2,"1.6867174090313732"
"Arabia Dogma","NC-17","29.99","5.9275080323794504",2,"1.6621455253306438"
"Dirty Ace","NC-17","29.99","5.9275080323794504",2,"1.6621455253306438"
"Earth Vision","NC-17","29.99","5.9275080323794504",2,"1.6621455253306438"
"Idols Snatchers","NC-17","29.99","5.9275080323794504",2,"1.6621455253306438"
"Jericho Mulan","NC-17","29.99","5.9275080323794504",2,"1.6621455253306438"
"Patient Sister","NC-17","29.99","5.9275080323794504",2,"1.6621455253306438"
"Princess Giant","NC-17","29.99","5.9275080323794504",2,"1.6621455253306438"
"Random Go","NC-17","29.99","5.9275080323794504",2,"1.6621455253306438"
"Brannigan Sunrise","PG","27.99","5.6704217342519380",2,"1.5926377716318023"
"Bucket Brotherhood","PG","27.99","5.6704217342519380",2,"1.5926377716318023"
"Dawn Pond","PG","27.99","5.6704217342519380",2,"1.5926377716318023"
"Holes Brannigan","PG","27.99","5.6704217342519380",2,"1.5926377716318023"
"Iron Moon","PG","27.99","5.6704217342519380",2,"1.5926377716318023"
"Manchurian Curtain","PG","27.99","5.6704217342519380",2,"1.5926377716318023"
"Mockingbird Hollywood","PG","27.99","5.6704217342519380",2,"1.5926377716318023"
"Movie Shakespeare","PG","27.99","5.6704217342519380",2,"1.5926377716318023"
"Room Roman","PG","27.99","5.6704217342519380",2,"1.5926377716318023"
"Superfly Trip","PG","27.99","5.6704217342519380",2,"1.5926377716318023"
"Tramp Others","PG","27.99","5.6704217342519380",2,"1.5926377716318023"
"Ballroom Mockingbird","G","29.99","6.3894066317950023",2,"1.5439882148421629"
"Bonnie Holocaust","G","29.99","6.3894066317950023",2,"1.5439882148421629"
"Cruelty Unforgiven","G","29.99","6.3894066317950023",2,"1.5439882148421629"
"Desperate Trainspotting","G","29.99","6.3894066317950023",2,"1.5439882148421629"
"Doctor Grail","G","29.99","6.3894066317950023",2,"1.5439882148421629"
"Extraordinary Conquerer","G","29.99","6.3894066317950023",2,"1.5439882148421629"
"Fantasia Park","G","29.99","6.3894066317950023",2,"1.5439882148421629"
"Flatliners Killer","G","29.99","6.3894066317950023",2,"1.5439882148421629"
"Goldfinger Sensibility","G","29.99","6.3894066317950023",2,"1.5439882148421629"
"Hills Neighbors","G","29.99","6.3894066317950023",2,"1.5439882148421629"
"Japanese Run","G","29.99","6.3894066317950023",2,"1.5439882148421629"
"Lawless Vision","G","29.99","6.3894066317950023",2,"1.5439882148421629"
"Lover Truman","G","29.99","6.3894066317950023",2,"1.5439882148421629"
"Sassy Packer","G","29.99","6.3894066317950023",2,"1.5439882148421629"
"Smile Earring","G","29.99","6.3894066317950023",2,"1.5439882148421629"
"Tracy Cider","G","29.99","6.3894066317950023",2,"1.5439882148421629"
"West Lion","G","29.99","6.3894066317950023",2,"1.5439882148421629"
"Blindness Gun","PG-13","29.99","6.3181867336379082",2,"1.5174359907954237"
"Clockwork Paradise","PG-13","29.99","6.3181867336379082",2,"1.5174359907954237"
"Clyde Theory","PG-13","29.99","6.3181867336379082",2,"1.5174359907954237"
"Floats Garden","PG-13","29.99","6.3181867336379082",2,"1.5174359907954237"
"Jingle Sagebrush","PG-13","29.99","6.3181867336379082",2,"1.5174359907954237"
"Poseidon Forever","PG-13","29.99","6.3181867336379082",2,"1.5174359907954237"
"Reign Gentlemen","PG-13","29.99","6.3181867336379082",2,"1.5174359907954237"
"Reservoir Adaptation","PG-13","29.99","6.3181867336379082",2,"1.5174359907954237"
"Right Cranes","PG-13","29.99","6.3181867336379082",2,"1.5174359907954237"
"River Outlaw","PG-13","29.99","6.3181867336379082",2,"1.5174359907954237"
"Song Hedwig","PG-13","29.99","6.3181867336379082",2,"1.5174359907954237"
