"title","rating","x","round","sigma","z"
"Everyone Craft","PG","29.99","18.96","5.67","1.95"
"Graffiti Love","PG","29.99","18.96","5.67","1.95"
"Hollywood Anonymous","PG","29.99","18.96","5.67","1.95"
"Oscar Gold","PG","29.99","18.96","5.67","1.95"
"Arizona Bang","PG","28.99","18.96","5.67","1.77"
"Dying Maker","PG","28.99","18.96","5.67","1.77"
"Loser Hustler","PG","28.99","18.96","5.67","1.77"
"Monster Spartacus","PG","28.99","18.96","5.67","1.77"
"Rider Caddyshack","PG","28.99","18.96","5.67","1.77"
"Chariots Conspiracy","R","29.99","20.23","5.79","1.69"
"Cupboard Sinners","R","29.99","20.23","5.79","1.69"
"Feud Frogmen","R","29.99","20.23","5.79","1.69"
"Gilmore Boiled","R","29.99","20.23","5.79","1.69"
"Honey Ties","R","29.99","20.23","5.79","1.69"
"Jeepers Wedding","R","29.99","20.23","5.79","1.69"
"Loathing Legally","R","29.99","20.23","5.79","1.69"
"Quest Mussolini","R","29.99","20.23","5.79","1.69"
"Salute Apollo","R","29.99","20.23","5.79","1.69"
"Slacker Liaisons","R","29.99","20.23","5.79","1.69"
"Arabia Dogma","NC-17","29.99","20.14","5.93","1.66"
"Dirty Ace","NC-17","29.99","20.14","5.93","1.66"
"Earth Vision","NC-17","29.99","20.14","5.93","1.66"
"Idols Snatchers","NC-17","29.99","20.14","5.93","1.66"
"Jericho Mulan","NC-17","29.99","20.14","5.93","1.66"
"Patient Sister","NC-17","29.99","20.14","5.93","1.66"
"Princess Giant","NC-17","29.99","20.14","5.93","1.66"
"Random Go","NC-17","29.99","20.14","5.93","1.66"
"Brannigan Sunrise","PG","27.99","18.96","5.67","1.59"
"Bucket Brotherhood","PG","27.99","18.96","5.67","1.59"
"Dawn Pond","PG","27.99","18.96","5.67","1.59"
"Holes Brannigan","PG","27.99","18.96","5.67","1.59"
"Iron Moon","PG","27.99","18.96","5.67","1.59"
"Manchurian Curtain","PG","27.99","18.96","5.67","1.59"
"Mockingbird Hollywood","PG","27.99","18.96","5.67","1.59"
"Movie Shakespeare","PG","27.99","18.96","5.67","1.59"
"Room Roman","PG","27.99","18.96","5.67","1.59"
"Superfly Trip","PG","27.99","18.96","5.67","1.59"
"Tramp Others","PG","27.99","18.96","5.67","1.59"
"Ballroom Mockingbird","G","29.99","20.12","6.39","1.54"
"Bonnie Holocaust","G","29.99","20.12","6.39","1.54"
"Cruelty Unforgiven","G","29.99","20.12","6.39","1.54"
"Desperate Trainspotting","G","29.99","20.12","6.39","1.54"
"Doctor Grail","G","29.99","20.12","6.39","1.54"
"Extraordinary Conquerer","G","29.99","20.12","6.39","1.54"
"Fantasia Park","G","29.99","20.12","6.39","1.54"
