"title","rating","x","round","sigma","z","n"
"Everyone Craft","PG","29.99","19.22","5.71","1.89","3"
"Graffiti Love","PG","29.99","19.22","5.71","1.89","7"
"Hollywood Anonymous","PG","29.99","19.22","5.71","1.89","4"
"Oscar Gold","PG","29.99","19.22","5.71","1.89","7"
"Arizona Bang","PG","28.99","19.22","5.71","1.71","7"
"Dying Maker","PG","28.99","19.22","5.71","1.71","4"
"Loser Hustler","PG","28.99","19.22","5.71","1.71","4"
"Monster Spartacus","PG","28.99","19.22","5.71","1.71","4"
"Rider Caddyshack","PG","28.99","19.22","5.71","1.71","4"
"Arabia Dogma","NC-17","29.99","20.26","5.94","1.64","4"
"Dirty Ace","NC-17","29.99","20.26","5.94","1.64","5"
"Earth Vision","NC-17","29.99","20.26","5.94","1.64","7"
"Idols Snatchers","NC-17","29.99","20.26","5.94","1.64","7"
"Jericho Mulan","NC-17","29.99","20.26","5.94","1.64","5"
"Patient Sister","NC-17","29.99","20.26","5.94","1.64","5"
"Princess Giant","NC-17","29.99","20.26","5.94","1.64","7"
"Random Go","NC-17","29.99","20.26","5.94","1.64","3"
"Chariots Conspiracy","R","29.99","20.46","5.96","1.60","5"
"Cupboard Sinners","R","29.99","20.46","5.96","1.60","8"
"Feud Frogmen","R","29.99","20.46","5.96","1.60","6"
"Gilmore Boiled","R","29.99","20.46","5.96","1.60","8"
"Honey Ties","R","29.99","20.46","5.96","1.60","6"
"Jeepers Wedding","R","29.99","20.46","5.96","1.60","4"
"Loathing Legally","R","29.99","20.46","5.96","1.60","8"
"Quest Mussolini","R","29.99","20.46","5.96","1.60","6"
"Salute Apollo","R","29.99","20.46","5.96","1.60","6"
"Slacker Liaisons","R","29.99","20.46","5.96","1.60","6"
"Brannigan Sunrise","PG","27.99","19.22","5.71","1.54","3"
"Bucket Brotherhood","PG","27.99","19.22","5.71","1.54","8"
"Dawn Pond","PG","27.99","19.22","5.71","1.54","6"
"Holes Brannigan","PG","27.99","19.22","5.71","1.54","5"
"Iron Moon","PG","27.99","19.22","5.71","1.54","3"
"Manchurian Curtain","PG","27.99","19.22","5.71","1.54","5"
"Mockingbird Hollywood","PG","27.99","19.22","5.71","1.54","8"
"Movie Shakespeare","PG","27.99","19.22","5.71","1.54","6"
"Room Roman","PG","27.99","19.22","5.71","1.54","6"
"Superfly Trip","PG","27.99","19.22","5.71","1.54","3"
"Tramp Others","PG","27.99","19.22","5.71","1.54","5"
"Ballroom Mockingbird","G","29.99","20.46","6.34","1.50","2"
"Bonnie Holocaust","G","29.99","20.46","6.34","1.50","4"
"Cruelty Unforgiven","G","29.99","20.46","6.34","1.50","2"
"Desperate Trainspotting","G","29.99","20.46","6.34","1.50","2"
"Doctor Grail","G","29.99","20.46","6.34","1.50","2"
"Extraordinary Conquerer","G","29.99","20.46","6.34","1.50","2"
"Fantasia Park","G","29.99","20.46","6.34","1.50","6"
"Flatliners Killer","G","29.99","20.46","6.34","1.50","6"
"Goldfinger Sensibility","G","29.99","20.46","6.34","1.50","7"
"Hills Neighbors","G","29.99","20.46","6.34","1.50","6"
"Japanese Run","G","29.99","20.46","6.34","1.50","2"
"Lawless Vision","G","29.99","20.46","6.34","1.50","4"
"Lover Truman","G","29.99","20.46","6.34","1.50","3"
"Sassy Packer","G","29.99","20.46","6.34","1.50","4"
"Smile Earring","G","29.99","20.46","6.34","1.50","3"
"Tracy Cider","G","29.99","20.46","6.34","1.50","7"
"West Lion","G","29.99","20.46","6.34","1.50","4"
"Blindness Gun","PG-13","29.99","20.68","6.31","1.48","4"
"Clockwork Paradise","PG-13","29.99","20.68","6.31","1.48","3"
"Clyde Theory","PG-13","29.99","20.68","6.31","1.48","3"
"Jingle Sagebrush","PG-13","29.99","20.68","6.31","1.48","3"
"Poseidon Forever","PG-13","29.99","20.68","6.31","1.48","5"
"Reign Gentlemen","PG-13","29.99","20.68","6.31","1.48","7"
"Reservoir Adaptation","PG-13","29.99","20.68","6.31","1.48","3"
"Right Cranes","PG-13","29.99","20.68","6.31","1.48","3"
"River Outlaw","PG-13","29.99","20.68","6.31","1.48","7"
"Song Hedwig","PG-13","29.99","20.68","6.31","1.48","3"
"Uncut Suicides","PG-13","29.99","20.68","6.31","1.48","4"
"Virgin Daisy","PG-13","29.99","20.68","6.31","1.48","5"
"Wyoming Storm","PG-13","29.99","20.68","6.31","1.48","3"
"Element Freddy","NC-17","28.99","20.26","5.94","1.47","4"
"Forever Candidate","NC-17","28.99","20.26","5.94","1.47","4"
"Lesson Cleopatra","NC-17","28.99","20.26","5.94","1.47","2"
"License Weekend","NC-17","28.99","20.26","5.94","1.47","2"
"Lies Treatment","NC-17","28.99","20.26","5.94","1.47","7"
"Roman Punk","NC-17","28.99","20.26","5.94","1.47","6"
"Seabiscuit Punk","NC-17","28.99","20.26","5.94","1.47","8"
"Storm Happiness","NC-17","28.99","20.26","5.94","1.47","8"
