"inventory_id","film_id","store_id","last_update","rental_count"
5,1,2,"2006-02-15 10:09:17","0"
1580,346,2,"2006-02-15 10:09:17","1"
2662,584,1,"2006-02-15 10:09:17","1"
2786,611,1,"2006-02-15 10:09:17","1"
3372,739,2,"2006-02-15 10:09:17","1"
3,1,1,"2006-02-15 10:09:17","2"
4,1,1,"2006-02-15 10:09:17","2"
8,1,2,"2006-02-15 10:09:17","2"
9,2,2,"2006-02-15 10:09:17","2"
11,2,2,"2006-02-15 10:09:17","2"
12,3,2,"2006-02-15 10:09:17","2"
13,3,2,"2006-02-15 10:09:17","2"
18,4,1,"2006-02-15 10:09:17","2"
28,6,1,"2006-02-15 10:09:17","2"
31,6,2,"2006-02-15 10:09:17","2"
32,7,1,"2006-02-15 10:09:17","2"
36,7,2,"2006-02-15 10:09:17","2"
43,9,1,"2006-02-15 10:09:17","2"
44,9,2,"2006-02-15 10:09:17","2"
45,9,2,"2006-02-15 10:09:17","2"
47,10,1,"2006-02-15 10:09:17","2"
48,10,1,"2006-02-15 10:09:17","2"
54,11,1,"2006-02-15 10:09:17","2"
57,11,2,"2006-02-15 10:09:17","2"
60,12,1,"2006-02-15 10:09:17","2"
64,12,2,"2006-02-15 10:09:17","2"
67,13,2,"2006-02-15 10:09:17","2"
68,13,2,"2006-02-15 10:09:17","2"
69,13,2,"2006-02-15 10:09:17","2"
74,15,2,"2006-02-15 10:09:17","2"
77,16,1,"2006-02-15 10:09:17","2"
81,17,1,"2006-02-15 10:09:17","2"
83,17,1,"2006-02-15 10:09:17","2"
84,17,2,"2006-02-15 10:09:17","2"
90,18,2,"2006-02-15 10:09:17","2"
93,19,1,"2006-02-15 10:09:17","2"
96,19,1,"2006-02-15 10:09:17","2"
101,20,1,"2006-02-15 10:09:17","2"
107,21,2,"2006-02-15 10:09:17","2"
111,22,1,"2006-02-15 10:09:17","2"
112,22,2,"2006-02-15 10:09:17","2"
114,22,2,"2006-02-15 10:09:17","2"
121,24,1,"2006-02-15 10:09:17","2"
127,25,1,"2006-02-15 10:09:17","2"
137,27,1,"2006-02-15 10:09:17","2"
154,32,2,"2006-02-15 10:09:17","2"
156,34,2,"2006-02-15 10:09:17","2"
157,34,2,"2006-02-15 10:09:17","2"
160,35,1,"2006-02-15 10:09:17","2"
167,37,1,"2006-02-15 10:09:17","2"
169,37,1,"2006-02-15 10:09:17","2"
171,37,2,"2006-02-15 10:09:17","2"
175,39,1,"2006-02-15 10:09:17","2"
