"inventory_id","store_id","film_id","title","rental_rate","replacement_cost","rental_count","profit"
833,1,182,"Control Anthem","4.99","9.99","5","14.96"
914,2,203,"Daisy Menagerie","4.99","9.99","5","14.96"
1174,2,260,"Dude Blindness","4.99","9.99","5","14.96"
1172,2,260,"Dude Blindness","4.99","9.99","5","14.96"
1227,1,272,"Edge Kissing","4.99","9.99","5","14.96"
1229,1,272,"Edge Kissing","4.99","9.99","5","14.96"
1404,2,307,"Fellowship Autumn","4.99","9.99","5","14.96"
1400,1,307,"Fellowship Autumn","4.99","9.99","5","14.96"
2306,1,501,"Kissing Dolls","4.99","9.99","5","14.96"
2508,2,551,"Maiden Home","4.99","9.99","5","14.96"
2510,2,551,"Maiden Home","4.99","9.99","5","14.96"
2580,1,565,"Matrix Snowman","4.99","9.99","5","14.96"
2863,2,627,"North Tequila","4.99","9.99","5","14.96"
2909,2,639,"Opposite Necklace","4.99","9.99","5","14.96"
2911,2,639,"Opposite Necklace","4.99","9.99","5","14.96"
3119,1,686,"Pluto Oleander","4.99","9.99","5","14.96"
3121,1,686,"Pluto Oleander","4.99","9.99","5","14.96"
3860,1,845,"Stepmom Dream","4.99","9.99","5","14.96"
4210,1,915,"Truman Crazy","4.99","9.99","5","14.96"
4209,1,915,"Truman Crazy","4.99","9.99","5","14.96"
4212,2,915,"Truman Crazy","4.99","9.99","5","14.96"
769,2,167,"Coma Head","4.99","10.99","5","13.96"
766,1,167,"Coma Head","4.99","10.99","5","13.96"
764,1,167,"Coma Head","4.99","10.99","5","13.96"
2884,2,633,"October Submarine","4.99","10.99","5","13.96"
3118,2,685,"Platoon Instinct","4.99","10.99","5","13.96"
3979,1,867,"Super Wyoming","4.99","10.99","5","13.96"
4163,1,905,"Trainspotting Strangers","4.99","10.99","5","13.96"
4322,2,941,"Videotape Arsenic","4.99","10.99","5","13.96"
4318,1,941,"Videotape Arsenic","4.99","10.99","5","13.96"
4319,1,941,"Videotape Arsenic","4.99","10.99","5","13.96"
4317,1,941,"Videotape Arsenic","4.99","10.99","5","13.96"
4478,1,979,"Witches Panic","4.99","10.99","5","13.96"
4483,2,979,"Witches Panic","4.99","10.99","5","13.96"
4479,1,979,"Witches Panic","4.99","10.99","5","13.96"
4482,2,979,"Witches Panic","4.99","10.99","5","13.96"
387,1,86,"Boogie Amelie","4.99","11.99","5","12.96"
389,1,86,"Boogie Amelie","4.99","11.99","5","12.96"
393,2,86,"Boogie Amelie","4.99","11.99","5","12.96"
390,1,86,"Boogie Amelie","4.99","11.99","5","12.96"
651,1,141,"Chicago North","4.99","11.99","5","12.96"
1259,1,279,"Elizabeth Shane","4.99","11.99","5","12.96"
1258,1,279,"Elizabeth Shane","4.99","11.99","5","12.96"
1428,1,313,"Fidelity Devil","4.99","11.99","5","12.96"
2296,1,500,"Kiss Glory","4.99","11.99","5","12.96"
2679,2,588,"Model Fish","4.99","11.99","5","12.96"
2678,2,588,"Model Fish","4.99","11.99","5","12.96"
2798,2,614,"Name Detective","4.99","11.99","5","12.96"
3264,1,719,"Records Zorro","4.99","11.99","5","12.96"
3509,1,768,"Scarface Bang","4.99","11.99","5","12.96"
3548,1,776,"Secret Groundhog","4.99","11.99","5","12.96"
3552,2,776,"Secret Groundhog","4.99","11.99","5","12.96"
3926,2,856,"Streetcar Intentions","4.99","11.99","5","12.96"
4108,2,893,"Titans Jerk","4.99","11.99","5","12.96"
4106,2,893,"Titans Jerk","4.99","11.99","5","12.96"
4178,2,908,"Trap Guys","4.99","11.99","5","12.96"
4285,1,933,"Vampire Whale","4.99","11.99","5","12.96"
4441,1,971,"Whale Bikini","4.99","11.99","5","12.96"
4444,1,971,"Whale Bikini","4.99","11.99","5","12.96"
4558,1,995,"Yentl Idaho","4.99","11.99","5","12.96"
4560,1,995,"Yentl Idaho","4.99","11.99","5","12.96"
443,1,98,"Bright Encounters","4.99","12.99","5","11.96"
600,1,131,"Center Dinosaur","4.99","12.99","5","11.96"
602,1,131,"Center Dinosaur","4.99","12.99","5","11.96"
601,1,131,"Center Dinosaur","4.99","12.99","5","11.96"
727,1,159,"Closer Bang","4.99","12.99","5","11.96"
729,2,159,"Closer Bang","4.99","12.99","5","11.96"
726,1,159,"Closer Bang","4.99","12.99","5","11.96"
730,2,159,"Closer Bang","4.99","12.99","5","11.96"
785,1,172,"Coneheads Smoochy","4.99","12.99","5","11.96"
1025,2,229,"Devil Desire","4.99","12.99","5","11.96"
1221,1,271,"Easy Gladiator","4.99","12.99","5","11.96"
1225,2,271,"Easy Gladiator","4.99","12.99","5","11.96"
1222,1,271,"Easy Gladiator","4.99","12.99","5","11.96"
2080,1,451,"Igby Maker","4.99","12.99","5","11.96"
2082,2,451,"Igby Maker","4.99","12.99","5","11.96"
2646,1,580,"Mine Titans","4.99","12.99","5","11.96"
2724,2,597,"Moonwalker Fool","4.99","12.99","5","11.96"
3342,2,734,"Road Roxanne","4.99","12.99","5","11.96"
3683,2,805,"Sleepless Monsoon","4.99","12.99","5","11.96"
3682,2,805,"Sleepless Monsoon","4.99","12.99","5","11.96"
3909,1,853,"Stranger Strangers","4.99","12.99","5","11.96"
3949,2,861,"Suit Walls","4.99","12.99","5","11.96"
3948,2,861,"Suit Walls","4.99","12.99","5","11.96"
4486,1,980,"Wizard Coldblooded","4.99","12.99","5","11.96"
207,2,46,"Autumn Crow","4.99","13.99","5","10.96"
380,1,84,"Boiled Dares","4.99","13.99","5","10.96"
379,1,84,"Boiled Dares","4.99","13.99","5","10.96"
797,1,174,"Confidential Interview","4.99","13.99","5","10.96"
802,2,174,"Confidential Interview","4.99","13.99","5","10.96"
800,2,174,"Confidential Interview","4.99","13.99","5","10.96"
946,2,210,"Darko Dorado","4.99","13.99","5","10.96"
1575,1,346,"Galaxy Sweethearts","4.99","13.99","5","10.96"
1578,2,346,"Galaxy Sweethearts","4.99","13.99","5","10.96"
1886,1,411,"Heavenly Gun","4.99","13.99","5","10.96"
3501,1,767,"Scalawag Duck","4.99","13.99","5","10.96"
3499,1,767,"Scalawag Duck","4.99","13.99","5","10.96"
3672,1,804,"Sleeping Suspects","4.99","13.99","5","10.96"
3677,2,804,"Sleeping Suspects","4.99","13.99","5","10.96"
4049,2,881,"Temple Attraction","4.99","13.99","5","10.96"
912,2,203,"Daisy Menagerie","4.99","9.99","4","9.97"
915,2,203,"Daisy Menagerie","4.99","9.99","4","9.97"
1173,2,260,"Dude Blindness","4.99","9.99","4","9.97"
1401,1,307,"Fellowship Autumn","4.99","9.99","4","9.97"
1403,2,307,"Fellowship Autumn","4.99","9.99","4","9.97"
1402,1,307,"Fellowship Autumn","4.99","9.99","4","9.97"
1405,2,307,"Fellowship Autumn","4.99","9.99","4","9.97"
1877,1,409,"Heartbreakers Bright","4.99","9.99","4","9.97"
1880,2,409,"Heartbreakers Bright","4.99","9.99","4","9.97"
2304,1,501,"Kissing Dolls","4.99","9.99","4","9.97"
2305,1,501,"Kissing Dolls","4.99","9.99","4","9.97"
2307,2,501,"Kissing Dolls","4.99","9.99","4","9.97"
2507,1,551,"Maiden Home","4.99","9.99","4","9.97"
2505,1,551,"Maiden Home","4.99","9.99","4","9.97"
2579,1,565,"Matrix Snowman","4.99","9.99","4","9.97"
2861,2,627,"North Tequila","4.99","9.99","4","9.97"
3016,2,662,"Paths Control","4.99","9.99","4","9.97"
3122,1,686,"Pluto Oleander","4.99","9.99","4","9.97"
3871,2,846,"Sting Personal","4.99","9.99","4","9.97"
3866,1,846,"Sting Personal","4.99","9.99","4","9.97"
4073,1,888,"Thin Sagebrush","4.99","9.99","4","9.97"
4211,2,915,"Truman Crazy","4.99","9.99","4","9.97"
205,2,45,"Attraction Newton","4.99","14.99","5","9.96"
339,2,75,"Bird Independence","4.99","14.99","5","9.96"
581,1,127,"Cat Coneheads","4.99","14.99","5","9.96"
585,2,127,"Cat Coneheads","4.99","14.99","5","9.96"
821,1,179,"Conquerer Nuts","4.99","14.99","5","9.96"
819,1,179,"Conquerer Nuts","4.99","14.99","5","9.96"
952,1,212,"Darn Forrester","4.99","14.99","5","9.96"
1183,2,263,"Durham Panky","4.99","14.99","5","9.96"
1203,1,267,"Eagles Panky","4.99","14.99","5","9.96"
1201,1,267,"Eagles Panky","4.99","14.99","5","9.96"
2247,1,486,"Jet Neighbors","4.99","14.99","5","9.96"
2329,1,506,"Lady Stage","4.99","14.99","5","9.96"
2367,2,515,"Legally Secretary","4.99","14.99","5","9.96"
3005,2,659,"Park Citizen","4.99","14.99","5","9.96"
4185,2,911,"Trip Newton","4.99","14.99","5","9.96"
4181,1,911,"Trip Newton","4.99","14.99","5","9.96"
4304,1,938,"Velvet Terminator","4.99","14.99","5","9.96"
4306,1,938,"Velvet Terminator","4.99","14.99","5","9.96"
768,2,167,"Coma Head","4.99","10.99","4","8.97"
1936,2,421,"Holiday Games","4.99","10.99","4","8.97"
1939,2,421,"Holiday Games","4.99","10.99","4","8.97"
1938,2,421,"Holiday Games","4.99","10.99","4","8.97"
2882,1,632,"Nuts Ties","4.99","10.99","4","8.97"
2886,2,633,"October Submarine","4.99","10.99","4","8.97"
3117,2,685,"Platoon Instinct","4.99","10.99","4","8.97"
3558,2,777,"Secretary Rouge","4.99","10.99","4","8.97"
3555,1,777,"Secretary Rouge","4.99","10.99","4","8.97"
3980,1,867,"Super Wyoming","4.99","10.99","4","8.97"
4323,2,941,"Videotape Arsenic","4.99","10.99","4","8.97"
4484,2,979,"Witches Panic","4.99","10.99","4","8.97"
4481,1,979,"Witches Panic","4.99","10.99","4","8.97"
39,2,8,"Airport Pollock","4.99","15.99","5","8.96"
37,2,8,"Airport Pollock","4.99","15.99","5","8.96"
40,2,8,"Airport Pollock","4.99","15.99","5","8.96"
350,2,77,"Birds Perdition","4.99","15.99","5","8.96"
533,1,117,"Candles Grapes","4.99","15.99","5","8.96"
536,2,117,"Candles Grapes","4.99","15.99","5","8.96"
535,1,117,"Candles Grapes","4.99","15.99","5","8.96"
715,2,156,"Clerks Angels","4.99","15.99","5","8.96"
1955,2,426,"Home Pity","4.99","15.99","5","8.96"
1954,2,426,"Home Pity","4.99","15.99","5","8.96"
2373,1,518,"Liaisons Sweet","4.99","15.99","5","8.96"
3160,1,694,"Prejudice Oleander","4.99","15.99","5","8.96"
3725,2,814,"Snatch Slipper","4.99","15.99","5","8.96"
3722,1,814,"Snatch Slipper","4.99","15.99","5","8.96"
3853,2,843,"Steel Santa","4.99","15.99","5","8.96"
155,2,32,"Apocalypse Flamingos","4.99","11.99","4","7.97"
653,2,141,"Chicago North","4.99","11.99","4","7.97"
1433,2,313,"Fidelity Devil","4.99","11.99","4","7.97"
1431,1,313,"Fidelity Devil","4.99","11.99","4","7.97"
1482,1,324,"Flintstones Happiness","4.99","11.99","4","7.97"
1484,2,324,"Flintstones Happiness","4.99","11.99","4","7.97"
1481,1,324,"Flintstones Happiness","4.99","11.99","4","7.97"
2097,1,455,"Impossible Prejudice","4.99","11.99","4","7.97"
2096,1,455,"Impossible Prejudice","4.99","11.99","4","7.97"
2301,2,500,"Kiss Glory","4.99","11.99","4","7.97"
2590,2,568,"Memento Zoolander","4.99","11.99","4","7.97"
2795,1,614,"Name Detective","4.99","11.99","4","7.97"
2796,1,614,"Name Detective","4.99","11.99","4","7.97"
2799,2,614,"Name Detective","4.99","11.99","4","7.97"
3447,2,755,"Sabrina Midnight","4.99","11.99","4","7.97"
3442,1,755,"Sabrina Midnight","4.99","11.99","4","7.97"
3511,2,768,"Scarface Bang","4.99","11.99","4","7.97"
3549,1,776,"Secret Groundhog","4.99","11.99","4","7.97"
3551,2,776,"Secret Groundhog","4.99","11.99","4","7.97"
3656,2,798,"Silverado Goldfinger","4.99","11.99","4","7.97"
3922,1,856,"Streetcar Intentions","4.99","11.99","4","7.97"
3927,2,856,"Streetcar Intentions","4.99","11.99","4","7.97"
4107,2,893,"Titans Jerk","4.99","11.99","4","7.97"
4103,1,893,"Titans Jerk","4.99","11.99","4","7.97"
4104,1,893,"Titans Jerk","4.99","11.99","4","7.97"
4177,2,908,"Trap Guys","4.99","11.99","4","7.97"
4176,1,908,"Trap Guys","4.99","11.99","4","7.97"
4287,1,933,"Vampire Whale","4.99","11.99","4","7.97"
4442,1,971,"Whale Bikini","4.99","11.99","4","7.97"
4443,1,971,"Whale Bikini","4.99","11.99","4","7.97"
4559,1,995,"Yentl Idaho","4.99","11.99","4","7.97"
139,1,28,"Anthem Luke","4.99","16.99","5","7.96"
141,1,28,"Anthem Luke","4.99","16.99","5","7.96"
140,1,28,"Anthem Luke","4.99","16.99","5","7.96"
150,2,31,"Apache Divine","4.99","16.99","5","7.96"
146,1,31,"Apache Divine","4.99","16.99","5","7.96"
151,2,31,"Apache Divine","4.99","16.99","5","7.96"
553,1,120,"Caribbean Liberty","4.99","16.99","5","7.96"
578,2,126,"Casualties Encino","4.99","16.99","5","7.96"
971,2,216,"Day Unfaithful","4.99","16.99","5","7.96"
1070,1,239,"Dogma Family","4.99","16.99","5","7.96"
1069,1,239,"Dogma Family","4.99","16.99","5","7.96"
1111,2,246,"Doubtfire Labyrinth","4.99","16.99","5","7.96"
2569,1,563,"Massacre Usual","4.99","16.99","5","7.96"
2570,1,563,"Massacre Usual","4.99","16.99","5","7.96"
2574,2,563,"Massacre Usual","4.99","16.99","5","7.96"
2575,2,563,"Massacre Usual","4.99","16.99","5","7.96"
2637,2,578,"Million Ace","4.99","16.99","5","7.96"
2634,1,578,"Million Ace","4.99","16.99","5","7.96"
2636,2,578,"Million Ace","4.99","16.99","5","7.96"
2897,1,637,"Open African","4.99","16.99","5","7.96"
2898,2,637,"Open African","4.99","16.99","5","7.96"
3074,2,676,"Philadelphia Wife","4.99","16.99","5","7.96"
3075,2,676,"Philadelphia Wife","4.99","16.99","5","7.96"
444,1,98,"Bright Encounters","4.99","12.99","4","6.97"
442,1,98,"Bright Encounters","4.99","12.99","4","6.97"
605,2,131,"Center Dinosaur","4.99","12.99","4","6.97"
786,1,172,"Coneheads Smoochy","4.99","12.99","4","6.97"
787,2,172,"Coneheads Smoochy","4.99","12.99","4","6.97"
1024,1,229,"Devil Desire","4.99","12.99","4","6.97"
1026,2,229,"Devil Desire","4.99","12.99","4","6.97"
1224,2,271,"Easy Gladiator","4.99","12.99","4","6.97"
1223,1,271,"Easy Gladiator","4.99","12.99","4","6.97"
2081,1,451,"Igby Maker","4.99","12.99","4","6.97"
2645,1,580,"Mine Titans","4.99","12.99","4","6.97"
2721,2,597,"Moonwalker Fool","4.99","12.99","4","6.97"
3165,1,695,"President Bang","4.99","12.99","4","6.97"
3340,2,734,"Road Roxanne","4.99","12.99","4","6.97"
3681,2,805,"Sleepless Monsoon","4.99","12.99","4","6.97"
3946,1,861,"Suit Walls","4.99","12.99","4","6.97"
4485,1,980,"Wizard Coldblooded","4.99","12.99","4","6.97"
103,1,21,"American Circus","4.99","17.99","5","6.96"
102,1,21,"American Circus","4.99","17.99","5","6.96"
1012,1,227,"Details Packer","4.99","17.99","5","6.96"
1581,1,347,"Games Bowfinger","4.99","17.99","5","6.96"
1584,1,347,"Games Bowfinger","4.99","17.99","5","6.96"
2154,2,465,"Interview Liaisons","4.99","17.99","5","6.96"
2153,2,465,"Interview Liaisons","4.99","17.99","5","6.96"
3012,1,661,"Past Suicides","4.99","17.99","5","6.96"
3050,1,670,"Pelican Comforts","4.99","17.99","5","6.96"
3049,1,670,"Pelican Comforts","4.99","17.99","5","6.96"
3105,1,682,"Pittsburgh Hunchback","4.99","17.99","5","6.96"
3371,2,739,"Rocky War","4.99","17.99","5","6.96"
3369,1,739,"Rocky War","4.99","17.99","5","6.96"
3741,1,818,"Something Duck","4.99","17.99","5","6.96"
4412,2,964,"Waterfront Deliverance","4.99","17.99","5","6.96"
208,2,46,"Autumn Crow","4.99","13.99","4","5.97"
796,1,174,"Confidential Interview","4.99","13.99","4","5.97"
1806,1,392,"Hall Cassidy","4.99","13.99","4","5.97"
3504,2,767,"Scalawag Duck","4.99","13.99","4","5.97"
3506,2,767,"Scalawag Duck","4.99","13.99","4","5.97"
3503,2,767,"Scalawag Duck","4.99","13.99","4","5.97"
3500,1,767,"Scalawag Duck","4.99","13.99","4","5.97"
3678,2,804,"Sleeping Suspects","4.99","13.99","4","5.97"
431,2,95,"Breakfast Goldfinger","4.99","18.99","5","5.96"
1144,1,253,"Drifter Commandments","4.99","18.99","5","5.96"
1146,2,253,"Drifter Commandments","4.99","18.99","5","5.96"
1622,1,354,"Ghost Groundhog","4.99","18.99","5","5.96"
1825,2,396,"Hanging Deep","4.99","18.99","5","5.96"
1822,2,396,"Hanging Deep","4.99","18.99","5","5.96"
1824,2,396,"Hanging Deep","4.99","18.99","5","5.96"
1850,1,403,"Harry Idaho","4.99","18.99","5","5.96"
