"film_id","title","rental_rate","replacement_cost","inventory_count","rental_count","profit"
979,"Witches Panic","4.99","10.99","7","30","72.77"
307,"Fellowship Autumn","4.99","9.99","6","26","69.80"
941,"Videotape Arsenic","4.99","10.99","7","29","67.78"
551,"Maiden Home","4.99","9.99","6","24","59.82"
915,"Truman Crazy","4.99","9.99","6","23","54.83"
167,"Coma Head","4.99","10.99","7","26","52.81"
501,"Kissing Dolls","4.99","9.99","5","20","49.85"
271,"Easy Gladiator","4.99","12.99","5","23","49.82"
86,"Boogie Amelie","4.99","11.99","8","29","48.79"
159,"Closer Bang","4.99","12.99","7","28","48.79"
893,"Titans Jerk","4.99","11.99","8","29","48.79"
767,"Scalawag Duck","4.99","13.99","8","32","47.76"
776,"Secret Groundhog","4.99","11.99","5","21","44.84"
614,"Name Detective","4.99","11.99","6","23","42.83"
995,"Yentl Idaho","4.99","11.99","6","23","42.83"
971,"Whale Bikini","4.99","11.99","4","18","41.86"
131,"Center Dinosaur","4.99","12.99","6","24","41.82"
203,"Daisy Menagerie","4.99","9.99","4","16","39.88"
260,"Dude Blindness","4.99","9.99","4","16","39.88"
686,"Pluto Oleander","4.99","9.99","4","16","39.88"
938,"Velvet Terminator","4.99","14.99","6","26","39.80"
639,"Opposite Necklace","4.99","9.99","3","13","34.90"
272,"Edge Kissing","4.99","9.99","4","15","34.89"
805,"Sleepless Monsoon","4.99","12.99","5","20","34.85"
172,"Coneheads Smoochy","4.99","12.99","7","25","33.82"
313,"Fidelity Devil","4.99","11.99","6","21","32.85"
174,"Confidential Interview","4.99","13.99","8","29","32.79"
908,"Trap Guys","4.99","11.99","4","16","31.88"
421,"Holiday Games","4.99","10.99","4","15","30.89"
563,"Massacre Usual","4.99","16.99","7","30","30.77"
409,"Heartbreakers Bright","4.99","9.99","7","20","29.87"
845,"Stepmom Dream","4.99","9.99","7","20","29.87"
451,"Igby Maker","4.99","12.99","5","19","29.86"
45,"Attraction Newton","4.99","14.99","6","24","29.82"
127,"Cat Coneheads","4.99","14.99","8","30","29.78"
856,"Streetcar Intentions","4.99","11.99","8","25","28.83"
588,"Model Fish","4.99","11.99","4","15","26.89"
861,"Suit Walls","4.99","12.99","6","21","26.85"
279,"Elizabeth Shane","4.99","11.99","2","10","25.92"
98,"Bright Encounters","4.99","12.99","3","13","25.90"
8,"Airport Pollock","4.99","15.99","4","18","25.86"
565,"Matrix Snowman","4.99","9.99","2","9","24.93"
