"title","x","round","sigma","z"
"Everyone Craft","PG","18.96","5.67","1.95"
"Graffiti Love","PG","18.96","5.67","1.95"
"Hollywood Anonymous","PG","18.96","5.67","1.95"
"Oscar Gold","PG","18.96","5.67","1.95"
"Arizona Bang","PG","18.96","5.67","1.77"
"Dying Maker","PG","18.96","5.67","1.77"
"Loser Hustler","PG","18.96","5.67","1.77"
"Monster Spartacus","PG","18.96","5.67","1.77"
"Rider Caddyshack","PG","18.96","5.67","1.77"
"Chariots Conspiracy","R","20.23","5.79","1.69"
"Cupboard Sinners","R","20.23","5.79","1.69"
"Feud Frogmen","R","20.23","5.79","1.69"
"Gilmore Boiled","R","20.23","5.79","1.69"
"Honey Ties","R","20.23","5.79","1.69"
"Jeepers Wedding","R","20.23","5.79","1.69"
"Loathing Legally","R","20.23","5.79","1.69"
"Quest Mussolini","R","20.23","5.79","1.69"
"Salute Apollo","R","20.23","5.79","1.69"
"Slacker Liaisons","R","20.23","5.79","1.69"
"Arabia Dogma","NC-17","20.14","5.93","1.66"
"Dirty Ace","NC-17","20.14","5.93","1.66"
"Earth Vision","NC-17","20.14","5.93","1.66"
"Idols Snatchers","NC-17","20.14","5.93","1.66"
"Jericho Mulan","NC-17","20.14","5.93","1.66"
"Patient Sister","NC-17","20.14","5.93","1.66"
"Princess Giant","NC-17","20.14","5.93","1.66"
"Random Go","NC-17","20.14","5.93","1.66"
"Brannigan Sunrise","PG","18.96","5.67","1.59"
"Bucket Brotherhood","PG","18.96","5.67","1.59"
"Dawn Pond","PG","18.96","5.67","1.59"
"Holes Brannigan","PG","18.96","5.67","1.59"
"Iron Moon","PG","18.96","5.67","1.59"
"Manchurian Curtain","PG","18.96","5.67","1.59"
"Mockingbird Hollywood","PG","18.96","5.67","1.59"
"Movie Shakespeare","PG","18.96","5.67","1.59"
"Room Roman","PG","18.96","5.67","1.59"
"Superfly Trip","PG","18.96","5.67","1.59"
"Tramp Others","PG","18.96","5.67","1.59"
"Ballroom Mockingbird","G","20.12","6.39","1.54"
"Bonnie Holocaust","G","20.12","6.39","1.54"
"Cruelty Unforgiven","G","20.12","6.39","1.54"
"Desperate Trainspotting","G","20.12","6.39","1.54"
"Doctor Grail","G","20.12","6.39","1.54"
"Extraordinary Conquerer","G","20.12","6.39","1.54"
"Fantasia Park","G","20.12","6.39","1.54"
"Flatliners Killer","G","20.12","6.39","1.54"
"Goldfinger Sensibility","G","20.12","6.39","1.54"
"Hills Neighbors","G","20.12","6.39","1.54"
"Japanese Run","G","20.12","6.39","1.54"
"Lawless Vision","G","20.12","6.39","1.54"
"Lover Truman","G","20.12","6.39","1.54"
"Sassy Packer","G","20.12","6.39","1.54"
"Smile Earring","G","20.12","6.39","1.54"
"Tracy Cider","G","20.12","6.39","1.54"
"West Lion","G","20.12","6.39","1.54"
"Blindness Gun","PG-13","20.40","6.32","1.52"
"Clockwork Paradise","PG-13","20.40","6.32","1.52"
"Clyde Theory","PG-13","20.40","6.32","1.52"
"Floats Garden","PG-13","20.40","6.32","1.52"
"Jingle Sagebrush","PG-13","20.40","6.32","1.52"
"Poseidon Forever","PG-13","20.40","6.32","1.52"
"Reign Gentlemen","PG-13","20.40","6.32","1.52"
"Reservoir Adaptation","PG-13","20.40","6.32","1.52"
"Right Cranes","PG-13","20.40","6.32","1.52"
"River Outlaw","PG-13","20.40","6.32","1.52"
"Song Hedwig","PG-13","20.40","6.32","1.52"
"Uncut Suicides","PG-13","20.40","6.32","1.52"
"Virgin Daisy","PG-13","20.40","6.32","1.52"
"Wyoming Storm","PG-13","20.40","6.32","1.52"
"Double Wrath","R","20.23","5.79","1.51"
"Fugitive Maguire","R","20.23","5.79","1.51"
"Handicap Boondock","R","20.23","5.79","1.51"
"Head Stranger","R","20.23","5.79","1.51"
"Ice Crossing","R","20.23","5.79","1.51"
"Ties Hunger","R","20.23","5.79","1.51"
"Zoolander Fiction","R","20.23","5.79","1.51"
"Element Freddy","NC-17","20.14","5.93","1.49"
"Forever Candidate","NC-17","20.14","5.93","1.49"
"Lesson Cleopatra","NC-17","20.14","5.93","1.49"
"License Weekend","NC-17","20.14","5.93","1.49"
"Lies Treatment","NC-17","20.14","5.93","1.49"
"Roman Punk","NC-17","20.14","5.93","1.49"
"Seabiscuit Punk","NC-17","20.14","5.93","1.49"
"Storm Happiness","NC-17","20.14","5.93","1.49"
"Sunset Racer","NC-17","20.14","5.93","1.49"
"Dangerous Uptown","PG","18.96","5.67","1.42"
"Hate Handicap","PG","18.96","5.67","1.42"
"Private Drop","PG","18.96","5.67","1.42"
"Worst Banger","PG","18.96","5.67","1.42"
"Beauty Grease","G","20.12","6.39","1.39"
"Fargo Gandhi","G","20.12","6.39","1.39"
"Lust Lock","G","20.12","6.39","1.39"
"Rock Instinct","G","20.12","6.39","1.39"
"Sagebrush Clueless","G","20.12","6.39","1.39"
"Saturday Lambs","G","20.12","6.39","1.39"
"Side Ark","G","20.12","6.39","1.39"
"Watership Frontier","G","20.12","6.39","1.39"
"Airplane Sierra","PG-13","20.40","6.32","1.36"
"Command Darling","PG-13","20.40","6.32","1.36"
"Flamingos Connecticut","PG-13","20.40","6.32","1.36"
"Fury Murder","PG-13","20.40","6.32","1.36"
"Hotel Happiness","PG-13","20.40","6.32","1.36"
"Hunchback Impossible","PG-13","20.40","6.32","1.36"
"Magnolia Forrester","PG-13","20.40","6.32","1.36"
"Ridgemont Submarine","PG-13","20.40","6.32","1.36"
"Streak Ridgemont","PG-13","20.40","6.32","1.36"
"Thief Pelican","PG-13","20.40","6.32","1.36"
"Treasure Command","PG-13","20.40","6.32","1.36"
"Voyage Legally","PG-13","20.40","6.32","1.36"
"Anything Savannah","R","20.23","5.79","1.34"
"Campus Remember","R","20.23","5.79","1.34"
"Crusade Honey","R","20.23","5.79","1.34"
"Desert Poseidon","R","20.23","5.79","1.34"
"Dinosaur Secretary","R","20.23","5.79","1.34"
"Disturbing Scarface","R","20.23","5.79","1.34"
"Magnificent Chitty","R","20.23","5.79","1.34"
"Soldiers Evolution","R","20.23","5.79","1.34"
"Story Side","R","20.23","5.79","1.34"
"Sweet Brotherhood","R","20.23","5.79","1.34"
"United Pilot","R","20.23","5.79","1.34"
"Beneath Rush","NC-17","20.14","5.93","1.32"
"Clue Grail","NC-17","20.14","5.93","1.32"
"Early Home","NC-17","20.14","5.93","1.32"
"Perdition Fargo","NC-17","20.14","5.93","1.32"
"Runner Madigan","NC-17","20.14","5.93","1.32"
"Strangelove Desire","NC-17","20.14","5.93","1.32"
"Volcano Texas","NC-17","20.14","5.93","1.32"
"Wife Turn","NC-17","20.14","5.93","1.32"
"Chainsaw Uptown","PG","18.96","5.67","1.24"
"Dalmations Sweden","PG","18.96","5.67","1.24"
"Fireball Philadelphia","PG","18.96","5.67","1.24"
"Mallrats United","PG","18.96","5.67","1.24"
"Nightmare Chill","PG","18.96","5.67","1.24"
"Peak Forever","PG","18.96","5.67","1.24"
"Range Moonwalker","PG","18.96","5.67","1.24"
"Sleepy Japanese","PG","18.96","5.67","1.24"
"Barbarella Streetcar","G","20.12","6.39","1.23"
