"film_id","title","rating","rental_rate","replacement_cost","inventory_count","rental_count","profit","category_name"
56,"Barefoot Manchurian","G","2.99","15.99","5","18","-26.13","Action"
97,"Bride Intrigue","G","0.99","24.99","6","19","-131.13","Action"
126,"Casualties Encino","G","4.99","16.99","3","9","-6.06","Action"
212,"Darn Forrester","G","4.99","14.99","5","18","14.87","Action"
271,"Easy Gladiator","G","4.99","12.99","5","23","49.82","Action"
292,"Excitement Eve","G","0.99","20.99","6","21","-105.15","Action"
360,"Glass Dying","G","0.99","24.99","4","14","-86.10","Action"
371,"Gosford Donnie","G","4.99","17.99","3","8","-14.05","Action"
417,"Hills Neighbors","G","0.99","29.99","6","25","-155.19","Action"
542,"Lust Lock","G","2.99","28.99","6","15","-129.09","Action"
574,"Midnight Westward","G","0.99","19.99","5","17","-83.12","Action"
697,"Primary Glass","G","0.99","16.99","8","27","-109.19","Action"
732,"Rings Heartbreakers","G","0.99","17.99","4","15","-57.11","Action"
794,"Side Ark","G","0.99","28.99","4","12","-104.08","Action"
915,"Truman Crazy","G","4.99","9.99","6","23","54.83","Action"
964,"Waterfront Deliverance","G","4.99","17.99","5","17","-5.12","Action"
968,"Werewolf Lola","G","4.99","19.99","3","14","9.89","Action"
19,"Amadeus Holy","PG","0.99","20.99","6","21","-105.15","Action"
194,"Crow Grease","PG","0.99","22.99","4","12","-80.08","Action"
252,"Dream Pickup","PG","2.99","18.99","6","22","-48.16","Action"
327,"Fool Mockingbird","PG","4.99","24.99","6","23","-35.17","Action"
586,"Mockingbird Hollywood","PG","0.99","27.99","8","24","-200.16","Action"
664,"Patriot Roman","PG","2.99","12.99","5","16","-17.11","Action"
869,"Suspects Quills","PG","2.99","22.99","7","30","-71.23","Action"
991,"Worst Banger","PG","2.99","26.99","5","16","-87.11","Action"
67,"Berets Agent","PG-13","2.99","24.99","6","21","-87.15","Action"
130,"Celebrity Horn","PG-13","0.99","24.99","6","24","-126.18","Action"
253,"Drifter Commandments","PG-13","4.99","18.99","6","24","5.82","Action"
303,"Fantasy Troopers","PG-13","0.99","27.99","6","26","-142.20","Action"
530,"Lord Arizona","PG-13","2.99","27.99","3","11","-51.08","Action"
549,"Magnolia Forrester","PG-13","0.99","28.99","4","11","-105.07","Action"
579,"Minds Truman","PG-13","4.99","22.99","7","20","-61.13","Action"
659,"Park Citizen","PG-13","4.99","14.99","2","8","9.94","Action"
748,"Rugrats Shakespeare","PG-13","0.99","16.99","8","30","-106.22","Action"
825,"Speakeasy Date","PG-13","2.99","22.99","3","12","-33.09","Action"
911,"Trip Newton","PG-13","4.99","14.99","8","28","19.80","Action"
21,"American Circus","R","4.99","17.99","6","22","1.84","Action"
115,"Campus Remember","R","2.99","27.99","7","19","-139.12","Action"
162,"Clueless Bucket","R","2.99","13.99","7","25","-23.18","Action"
229,"Devil Desire","R","4.99","12.99","4","15","22.89","Action"
287,"Entrapment Satisfaction","R","0.99","19.99","4","15","-65.11","Action"
329,"Forrest Sons","R","2.99","15.99","6","18","-42.12","Action"
395,"Handicap Boondock","R","0.99","28.99","6","28","-146.22","Action"
501,"Kissing Dolls","R","4.99","9.99","5","20","49.85","Action"
707,"Quest Mussolini","R","2.99","29.99","6","20","-120.14","Action"
793,"Shrunk Divine","R","2.99","14.99","4","14","-18.10","Action"
823,"South Wait","R","2.99","21.99","7","22","-88.15","Action"
838,"Stagecoach Armageddon","R","4.99","25.99","6","26","-26.20","Action"
850,"Story Side","R","0.99","27.99","7","28","-168.21","Action"
982,"Women Dorado","R","0.99","23.99","7","23","-145.16","Action"
29,"Antitrust Tomatoes","NC-17","2.99","11.99","2","10","5.92","Action"
105,"Bull Shawshank","NC-17","0.99","21.99","5","16","-94.11","Action"
111,"Caddyshack Jedi","NC-17","0.99","17.99","4","16","-56.12","Action"
205,"Dances None","NC-17","0.99","22.99","4","14","-78.10","Action"
210,"Darko Dorado","NC-17","4.99","13.99","3","11","12.92","Action"
250,"Dragon Squad","NC-17","0.99","26.99","4","11","-97.07","Action"
375,"Grail Frankenstein","NC-17","2.99","17.99","2","10","-6.08","Action"
511,"Lawrence Love","NC-17","0.99","23.99","5","13","-107.08","Action"
594,"Montezuma Command","NC-17","0.99","22.99","3","9","-60.06","Action"
717,"Rear Trading","NC-17","0.99","23.99","4","17","-79.13","Action"
927,"Uprising Uptown","NC-17","2.99","16.99","4","16","-20.12","Action"
89,"Borrowers Bedazzled","G","0.99","22.99","6","22","-116.16","Animation"
154,"Clash Freddy","G","2.99","12.99","7","25","-16.18","Animation"
193,"Crossroads Casualties","G","2.99","20.99","8","21","-105.13","Animation"
239,"Dogma Family","G","4.99","16.99","8","30","13.78","Animation"
402,"Harper Dying","G","0.99","15.99","6","20","-76.14","Animation"
430,"Hook Chariots","G","0.99","23.99","4","13","-83.09","Animation"
510,"Lawless Vision","G","4.99","29.99","4","17","-35.13","Animation"
569,"Menagerie Rushmore","G","2.99","18.99","2","7","-17.05","Animation"
692,"Potluck Mixed","G","2.99","10.99","3","11","-0.08","Animation"
805,"Sleepless Monsoon","G","4.99","12.99","5","20","34.85","Animation"
816,"Snowman Rollercoaster","G","0.99","27.99","7","23","-173.16","Animation"
901,"Tracy Cider","G","0.99","29.99","7","26","-184.19","Animation"
916,"Turn Star","G","2.99","10.99","4","14","-2.10","Animation"
78,"Blackout Private","PG","2.99","12.99","7","27","-10.20","Animation"
121,"Carol Texas","PG","2.99","15.99","6","18","-42.12","Animation"
134,"Champion Flatliners","PG","4.99","21.99","3","13","-1.10","Animation"
433,"Horn Working","PG","2.99","23.99","6","24","-72.18","Animation"
564,"Massage Image","PG","2.99","11.99","3","12","-0.09","Animation"
644,"Oscar Gold","PG","2.99","29.99","7","25","-135.18","Animation"
693,"Potter Connecticut","PG","2.99","16.99","5","17","-34.12","Animation"
703,"Punk Divorce","PG","4.99","18.99","2","8","1.94","Animation"
743,"Room Roman","PG","0.99","27.99","6","20","-148.14","Animation"
859,"Sugar Wonka","PG","4.99","20.99","6","17","-41.11","Animation"
963,"Watch Tracy","PG","0.99","12.99","5","16","-49.11","Animation"
18,"Alter Victory","PG-13","0.99","27.99","6","22","-146.16","Animation"
160,"Club Graffiti","PG-13","0.99","12.99","5","19","-46.14","Animation"
208,"Dares Pluto","PG-13","2.99","16.99","3","9","-24.06","Animation"
300,"Falcon Volume","PG-13","4.99","21.99","6","22","-22.16","Animation"
349,"Gangs Pride","PG-13","2.99","27.99","7","27","-115.20","Animation"
464,"Intentions Empire","PG-13","2.99","13.99","7","17","-47.10","Animation"
489,"Juggler Hardly","PG-13","0.99","14.99","8","32","-88.24","Animation"
582,"Miracle Virtual","PG-13","2.99","19.99","2","9","-13.07","Animation"
583,"Mission Zoolander","PG-13","4.99","26.99","5","18","-45.13","Animation"
