"category_name","n","min","avg","max"
"Action","61","-200.16","-60.48","54.83"
"Animation","64","-203.21","-55.36","34.85"
"Children","58","-172.17","-47.72","29.87"
"Classics","54","-213.19","-58.94","41.82"
"Comedy","56","-161.14","-36.92","48.79"
"Documentary","63","-181.19","-52.64","44.84"
"Drama","61","-193.23","-51.50","72.77"
"Family","67","-164.12","-48.52","34.90"
"Foreign","67","-191.25","-37.74","41.86"
"Games","58","-197.19","-47.34","67.78"
"Horror","53","-171.21","-42.43","42.83"
"Music","51","-150.18","-37.27","48.79"
"New","60","-200.24","-41.51","59.82"
"Sci-Fi","59","-180.23","-55.90","48.79"
"Sports","73","-190.13","-47.72","39.88"
"Travel","53","-181.19","-33.09","69.80"
