"category_name","rating","title","profit","diff"
"Drama","NC-17","Witches Panic","72.77","0.00"
"Travel","NC-17","Fellowship Autumn","69.80","0.00"
"Games","NC-17","Videotape Arsenic","67.78","0.00"
"New","PG","Maiden Home","59.82","0.00"
"Action","G","Truman Crazy","54.83","0.00"
"Action","R","Kissing Dolls","49.85","0.00"
"Comedy","R","Closer Bang","48.79","0.00"
"Sci-Fi","PG","Titans Jerk","48.79","0.00"
"Music","R","Boogie Amelie","48.79","0.00"
"Music","NC-17","Scalawag Duck","47.76","0.00"
"Documentary","PG","Secret Groundhog","44.84","0.00"
"Games","PG-13","Name Detective","42.83","0.00"
"Horror","R","Yentl Idaho","42.83","0.00"
"Foreign","PG-13","Whale Bikini","41.86","0.00"
"Classics","PG","Center Dinosaur","41.82","0.00"
"Sports","G","Dude Blindness","39.88","0.00"
"New","R","Pluto Oleander","39.88","0.00"
"Sci-Fi","G","Daisy Menagerie","39.88","0.00"
"Family","PG","Opposite Necklace","34.90","0.00"
"Animation","G","Sleepless Monsoon","34.85","0.00"
"Horror","G","Fidelity Devil","32.85","0.00"
"Foreign","G","Trap Guys","31.88","0.00"
"Games","R","Massacre Usual","30.77","0.00"
"Foreign","NC-17","Stepmom Dream","29.87","0.00"
"Children","G","Heartbreakers Bright","29.87","0.00"
"New","PG-13","Attraction Newton","29.82","0.00"
"Comedy","G","Cat Coneheads","29.78","0.00"
"Children","NC-17","Model Fish","26.89","0.00"
"Sports","NC-17","Elizabeth Shane","25.92","0.00"
"Drama","PG-13","Bright Encounters","25.90","0.00"
"Documentary","NC-17","North Tequila","24.92","0.00"
"Comedy","PG-13","Flintstones Happiness","24.88","0.00"
"New","NC-17","Sting Personal","24.87","0.00"
"Sports","R","Durham Panky","24.81","0.00"
"Sports","PG","Secretary Rouge","23.88","0.00"
"Classics","PG-13","October Submarine","21.92","0.00"
"Horror","PG-13","Sleeping Suspects","21.83","0.00"
"Children","PG","Sabrina Midnight","20.86","0.00"
"Drama","G","Conquerer Nuts","19.88","0.00"
"Action","PG-13","Trip Newton","19.80","0.00"
"Travel","PG","Boiled Dares","18.89","0.00"
"Family","NC-17","Apache Divine","18.77","0.00"
"Children","PG-13","Scarface Bang","17.88","0.00"
"Comedy","NC-17","Memento Zoolander","16.91","0.00"
"Documentary","R","Road Roxanne","16.87","0.00"
"Documentary","PG-13","Thin Sagebrush","14.93","0.00"
"Music","PG","Wizard Coldblooded","14.89","0.00"
"Sports","PG-13","Tourist Pelican","14.83","0.00"
"Games","G","Autumn Crow","12.92","0.00"
"Action","NC-17","Darko Dorado","12.92","0.00"
"Drama","PG","Paths Control","9.94","0.00"
"Travel","G","Bird Independence","9.92","0.00"
"Foreign","R","Jet Neighbors","9.86","0.00"
"Travel","R","Madigan Dorado","7.92","0.00"
"Family","PG-13","Pittsburgh Hunchback","5.91","0.00"
"Music","PG-13","Lucky Flying","5.90","0.00"
"Classics","R","Galaxy Sweethearts","5.88","0.00"
"Classics","G","Hyde Doctor","5.80","0.00"
"Travel","PG-13","Speed Suit","4.93","0.00"
"Horror","PG","Temple Attraction","3.92","0.00"
"Documentary","G","Clerks Angels","2.95","0.00"
"Classics","NC-17","Steel Santa","2.84","0.00"
"Animation","PG","Punk Divorce","1.94","0.00"
"Sci-Fi","R","Connecticut Tramp","1.90","0.00"
"Animation","PG-13","Sunrise League","-0.18","0.00"
"Foreign","PG","Cowboy Doom","-1.05","0.00"
"Sci-Fi","NC-17","Hollow Jeopardy","-2.08","0.00"
"Comedy","PG","Snatch Slipper","-2.15","0.00"
"Sci-Fi","PG-13","Metropolis Coma","-2.18","0.00"
"New","G","Jumanji Blade","-4.06","0.00"
"Children","R","Giant Troopers","-4.20","0.00"
"Family","R","Conversation Downhill","-5.11","0.00"
"Drama","R","Gone Trouble","-12.08","0.00"
"Horror","NC-17","Zhivago Core","-13.07","0.00"
"Family","G","Chisum Behavior","-13.10","0.00"
"Animation","NC-17","Duck Racer","-14.04","0.00"
"Animation","R","Ishtar Rocketeer","-15.05","0.00"
"Action","PG","Patriot Roman","-17.11","0.00"
"Games","PG","Monsoon Cause","-18.06","0.00"
"Music","G","Minority Kiss","-39.09","0.00"
